id,tgl_produksi,jumlah,satuan,sumber_pasokan,id_unit_ternak,id_jenis_produk
48,2024-09-03,29,liter,Peternakan Lain,1,3
49,2024-09-04,44,liter,Pengepul,1,3
50,2024-09-05,25,liter,Pengepul,1,3
51,2024-09-06,37,liter,Peternakan Sendiri,1,3
52,2024-09-07,10,liter,Pengepul,1,3
53,2024-09-08,45,liter,Peternakan Sendiri,1,3
54,2024-09-09,5,liter,Peternakan Sendiri,1,3
55,2024-09-10,12,liter,Pengepul,1,3
56,2024-09-11,13,liter,Pengepul,1,3
57,2024-09-12,20,liter,Pengepul,1,3
58,2024-09-13,28,liter,Peternakan Lain,1,3
59,2024-09-14,1,liter,Peternakan Sendiri,1,3
60,2024-09-15,39,liter,Peternakan Sendiri,1,3
61,2024-09-16,7,liter,Peternakan Lain,1,3
62,2024-09-17,47,liter,Peternakan Lain,1,3
63,2024-09-18,12,liter,Peternakan Lain,1,3
64,2024-09-19,28,liter,Pengepul,1,3
65,2024-09-20,16,liter,Peternakan Lain,1,3
66,2024-09-21,26,liter,Peternakan Lain,1,3
67,2024-09-22,23,liter,Peternakan Sendiri,1,3
68,2024-09-23,15,liter,Peternakan Lain,1,3
69,2024-09-24,4,liter,Peternakan Sendiri,1,3
70,2024-09-25,27,liter,Peternakan Lain,1,3
71,2024-09-26,16,liter,Peternakan Sendiri,1,3
72,2024-09-27,34,liter,Peternakan Lain,1,3
73,2024-09-28,8,liter,Peternakan Lain,1,3
74,2024-09-29,40,liter,Peternakan Sendiri,1,3
75,2024-09-30,8,liter,Peternakan Lain,1,3
76,2024-10-01,7,liter,Pengepul,1,3
77,2024-10-02,19,liter,Peternakan Sendiri,1,3
78,2024-10-03,4,liter,Peternakan Sendiri,1,3
79,2024-10-04,46,liter,Pengepul,1,3
80,2024-10-05,12,liter,Pengepul,1,3
81,2024-10-06,23,liter,Peternakan Lain,1,3
82,2024-10-07,14,liter,Peternakan Lain,1,3
83,2024-10-08,10,liter,Peternakan Sendiri,1,3
84,2024-10-09,27,liter,Peternakan Sendiri,1,3
85,2024-10-10,16,liter,Pengepul,1,3
86,2024-10-11,46,liter,Pengepul,1,3
87,2024-10-12,36,liter,Peternakan Sendiri,1,3
88,2024-10-13,15,liter,Pengepul,1,3
89,2024-10-14,19,liter,Peternakan Sendiri,1,3
90,2024-10-15,49,liter,Peternakan Lain,1,3
91,2024-10-16,35,liter,Peternakan Lain,1,3
92,2024-10-17,40,liter,Pengepul,1,3
93,2024-10-18,20,liter,Pengepul,1,3
94,2024-10-19,50,liter,Peternakan Lain,1,3
95,2024-10-20,5,liter,Peternakan Lain,1,3
96,2024-10-21,15,liter,Peternakan Lain,1,3
97,2024-10-22,48,liter,Pengepul,1,3
98,2024-10-23,16,liter,Peternakan Lain,1,3
99,2024-10-24,41,liter,Pengepul,1,3
100,2024-10-25,33,liter,Pengepul,1,3
101,2024-10-26,47,liter,Pengepul,1,3
102,2024-10-27,27,liter,Peternakan Sendiri,1,3
103,2024-10-28,44,liter,Pengepul,1,3
104,2024-10-29,17,liter,Peternakan Lain,1,3
105,2024-10-30,17,liter,Pengepul,1,3
106,2024-10-31,44,liter,Pengepul,1,3
107,2024-11-01,40,liter,Peternakan Lain,1,3
108,2024-11-02,22,liter,Peternakan Lain,1,3
109,2024-11-03,13,liter,Peternakan Lain,1,3
110,2024-11-04,4,liter,Peternakan Lain,1,3
111,2024-11-05,49,liter,Peternakan Lain,1,3
112,2024-11-06,9,liter,Peternakan Lain,1,3
113,2024-11-07,18,liter,Peternakan Lain,1,3
114,2024-11-08,10,liter,Peternakan Lain,1,3
115,2024-11-09,36,liter,Peternakan Lain,1,3
116,2024-11-10,38,liter,Peternakan Sendiri,1,3
117,2024-11-11,44,liter,Peternakan Lain,1,3
118,2024-11-12,22,liter,Pengepul,1,3
119,2024-11-13,23,liter,Peternakan Lain,1,3
120,2024-11-14,47,liter,Peternakan Lain,1,3
121,2024-11-15,49,liter,Peternakan Sendiri,1,3
122,2024-11-16,35,liter,Peternakan Sendiri,1,3
123,2024-11-17,42,liter,Peternakan Lain,1,3
124,2024-11-18,40,liter,Peternakan Sendiri,1,3
125,2024-11-19,46,liter,Peternakan Sendiri,1,3
126,2024-11-20,39,liter,Peternakan Lain,1,3
127,2024-11-21,40,liter,Peternakan Lain,1,3
128,2024-11-22,41,liter,Peternakan Lain,1,3
129,2024-11-23,40,liter,Pengepul,1,3
130,2024-11-24,27,liter,Peternakan Lain,1,3
131,2024-11-25,7,liter,Peternakan Sendiri,1,3
132,2024-11-26,22,liter,Peternakan Lain,1,3
133,2024-11-27,8,liter,Peternakan Lain,1,3
134,2024-11-28,37,liter,Peternakan Lain,1,3
135,2024-11-29,1,liter,Peternakan Lain,1,3
136,2024-11-30,24,liter,Peternakan Sendiri,1,3
137,2024-12-01,43,liter,Peternakan Sendiri,1,3
138,2024-12-02,30,liter,Peternakan Lain,1,3
139,2024-12-03,2,liter,Peternakan Sendiri,1,3
140,2024-12-04,17,liter,Pengepul,1,3
141,2024-12-05,36,liter,Peternakan Lain,1,3
142,2024-12-06,16,liter,Peternakan Sendiri,1,3
143,2024-12-07,14,liter,Peternakan Sendiri,1,3
144,2024-12-08,3,liter,Pengepul,1,3
145,2024-12-09,35,liter,Peternakan Lain,1,3
146,2024-12-10,27,liter,Peternakan Lain,1,3
147,2024-12-11,6,liter,Peternakan Sendiri,1,3
148,2024-12-12,30,liter,Peternakan Lain,1,3
149,2024-12-13,14,liter,Peternakan Lain,1,3
150,2024-12-14,18,liter,Peternakan Lain,1,3
151,2024-12-15,31,liter,Peternakan Sendiri,1,3
152,2024-12-16,25,liter,Pengepul,1,3
153,2024-12-17,2,liter,Pengepul,1,3
154,2024-12-18,34,liter,Peternakan Lain,1,3
155,2024-12-19,24,liter,Peternakan Lain,1,3
156,2024-12-20,14,liter,Pengepul,1,3
157,2024-12-21,43,liter,Peternakan Sendiri,1,3
158,2024-12-22,4,liter,Peternakan Sendiri,1,3
159,2024-12-23,18,liter,Pengepul,1,3
160,2024-12-24,36,liter,Peternakan Sendiri,1,3
161,2024-12-25,21,liter,Peternakan Sendiri,1,3
162,2024-12-26,23,liter,Peternakan Lain,1,3
163,2024-12-27,14,liter,Peternakan Lain,1,3
164,2024-12-28,13,liter,Peternakan Sendiri,1,3
165,2024-12-29,1,liter,Peternakan Sendiri,1,3
166,2024-12-30,48,liter,Pengepul,1,3
167,2024-12-31,24,liter,Peternakan Lain,1,3
168,2025-01-01,34,liter,Pengepul,1,3
169,2025-01-02,45,liter,Peternakan Lain,1,3
170,2025-01-03,32,liter,Peternakan Lain,1,3
171,2025-01-04,22,liter,Pengepul,1,3
172,2025-01-05,5,liter,Peternakan Lain,1,3
173,2025-01-06,49,liter,Peternakan Lain,1,3
174,2025-01-07,16,liter,Peternakan Lain,1,3
175,2025-01-08,39,liter,Peternakan Lain,1,3
176,2025-01-09,39,liter,Peternakan Sendiri,1,3
177,2025-01-10,29,liter,Peternakan Lain,1,3
178,2025-01-11,29,liter,Peternakan Lain,1,3
179,2025-01-12,21,liter,Peternakan Sendiri,1,3
180,2025-01-13,36,liter,Peternakan Sendiri,1,3
181,2025-01-14,39,liter,Pengepul,1,3
182,2025-01-15,22,liter,Pengepul,1,3
183,2025-01-16,36,liter,Peternakan Sendiri,1,3
184,2025-01-17,12,liter,Peternakan Lain,1,3
185,2025-01-18,15,liter,Peternakan Lain,1,3
186,2025-01-19,34,liter,Pengepul,1,3
187,2025-01-20,15,liter,Peternakan Lain,1,3
188,2025-01-21,17,liter,Peternakan Sendiri,1,3
189,2025-01-22,36,liter,Pengepul,1,3
190,2025-01-23,25,liter,Pengepul,1,3
191,2025-01-24,8,liter,Peternakan Sendiri,1,3
192,2025-01-25,12,liter,Peternakan Sendiri,1,3
193,2025-01-26,42,liter,Peternakan Lain,1,3
194,2025-01-27,37,liter,Pengepul,1,3
195,2025-01-28,12,liter,Peternakan Lain,1,3
196,2025-01-29,33,liter,Peternakan Lain,1,3
197,2025-01-30,49,liter,Peternakan Lain,1,3
198,2025-01-31,43,liter,Pengepul,1,3
199,2025-02-01,14,liter,Peternakan Lain,1,3
200,2025-02-02,37,liter,Peternakan Lain,1,3
201,2025-02-03,43,liter,Pengepul,1,3
202,2025-02-04,29,liter,Peternakan Sendiri,1,3
203,2025-02-05,26,liter,Peternakan Sendiri,1,3
204,2025-02-06,46,liter,Peternakan Sendiri,1,3
205,2025-02-07,3,liter,Peternakan Sendiri,1,3
206,2025-02-08,40,liter,Peternakan Sendiri,1,3
207,2025-02-09,18,liter,Pengepul,1,3
208,2025-02-10,27,liter,Pengepul,1,3
209,2025-02-11,10,liter,Peternakan Sendiri,1,3
210,2025-02-12,39,liter,Pengepul,1,3
211,2025-02-13,49,liter,Peternakan Sendiri,1,3
212,2025-02-14,49,liter,Peternakan Sendiri,1,3
213,2025-02-15,21,liter,Peternakan Lain,1,3
214,2025-02-16,22,liter,Peternakan Sendiri,1,3
215,2025-02-17,29,liter,Peternakan Lain,1,3
216,2025-02-18,41,liter,Peternakan Sendiri,1,3
217,2025-02-19,15,liter,Pengepul,1,3
218,2025-02-20,19,liter,Peternakan Sendiri,1,3
219,2025-02-21,47,liter,Peternakan Lain,1,3
220,2025-02-22,21,liter,Pengepul,1,3
221,2025-02-23,4,liter,Peternakan Sendiri,1,3
222,2025-02-24,10,liter,Peternakan Sendiri,1,3
223,2025-02-25,37,liter,Peternakan Sendiri,1,3
224,2025-02-26,26,liter,Peternakan Sendiri,1,3
225,2025-02-27,44,liter,Pengepul,1,3
226,2025-02-28,13,liter,Peternakan Sendiri,1,3
227,2025-03-01,12,liter,Peternakan Lain,1,3
228,2025-03-02,6,liter,Pengepul,1,3
229,2025-03-03,20,liter,Pengepul,1,3
230,2025-03-04,14,liter,Pengepul,1,3
231,2025-03-05,33,liter,Peternakan Sendiri,1,3
232,2025-03-06,40,liter,Peternakan Lain,1,3
233,2025-03-07,20,liter,Pengepul,1,3
234,2025-03-08,39,liter,Peternakan Sendiri,1,3
235,2025-03-09,3,liter,Peternakan Sendiri,1,3
236,2025-03-10,3,liter,Peternakan Sendiri,1,3
237,2025-03-11,31,liter,Peternakan Sendiri,1,3
238,2025-03-12,30,liter,Peternakan Sendiri,1,3
239,2025-03-13,19,liter,Peternakan Lain,1,3
240,2025-03-14,21,liter,Peternakan Sendiri,1,3
241,2025-03-15,46,liter,Peternakan Sendiri,1,3
242,2025-03-16,4,liter,Peternakan Sendiri,1,3
243,2025-03-17,10,liter,Peternakan Sendiri,1,3
244,2025-03-18,20,liter,Peternakan Sendiri,1,3
245,2025-03-19,19,liter,Peternakan Lain,1,3
246,2025-03-20,46,liter,Pengepul,1,3
247,2025-03-21,34,liter,Peternakan Lain,1,3
248,2025-03-22,37,liter,Peternakan Sendiri,1,3
249,2025-03-23,31,liter,Peternakan Lain,1,3
250,2025-03-24,39,liter,Pengepul,1,3
251,2025-03-25,32,liter,Peternakan Lain,1,3
252,2025-03-26,9,liter,Peternakan Lain,1,3
253,2025-03-27,10,liter,Pengepul,1,3
254,2025-03-28,5,liter,Peternakan Lain,1,3
255,2025-03-29,8,liter,Pengepul,1,3
256,2025-03-30,18,liter,Pengepul,1,3
257,2025-03-31,34,liter,Peternakan Lain,1,3
258,2025-04-01,26,liter,Peternakan Sendiri,1,3
259,2025-04-02,31,liter,Pengepul,1,3
260,2025-04-03,45,liter,Peternakan Sendiri,1,3
261,2025-04-04,19,liter,Peternakan Sendiri,1,3
262,2025-04-05,7,liter,Peternakan Lain,1,3
263,2025-04-06,37,liter,Pengepul,1,3
264,2025-04-07,14,liter,Peternakan Sendiri,1,3
265,2025-04-08,21,liter,Pengepul,1,3
266,2025-04-09,12,liter,Peternakan Sendiri,1,3
267,2025-04-10,30,liter,Peternakan Sendiri,1,3
268,2025-04-11,24,liter,Peternakan Sendiri,1,3
269,2025-04-12,5,liter,Peternakan Lain,1,3
270,2025-04-13,8,liter,Peternakan Lain,1,3
271,2025-04-14,22,liter,Peternakan Lain,1,3
272,2025-04-15,46,liter,Peternakan Sendiri,1,3
273,2025-04-16,26,liter,Peternakan Sendiri,1,3
274,2025-04-17,36,liter,Peternakan Lain,1,3
275,2025-04-18,41,liter,Peternakan Lain,1,3
276,2025-04-19,44,liter,Peternakan Sendiri,1,3
277,2025-04-20,5,liter,Peternakan Lain,1,3
278,2025-04-21,45,liter,Pengepul,1,3
279,2025-04-22,50,liter,Peternakan Lain,1,3
280,2025-04-23,29,liter,Peternakan Lain,1,3
281,2025-04-24,40,liter,Peternakan Sendiri,1,3
282,2025-04-25,10,liter,Pengepul,1,3
283,2025-04-26,49,liter,Pengepul,1,3
284,2025-04-27,43,liter,Peternakan Sendiri,1,3
285,2025-04-28,9,liter,Peternakan Sendiri,1,3
286,2025-04-29,36,liter,Peternakan Sendiri,1,3
287,2025-04-30,20,liter,Pengepul,1,3
288,2025-05-01,16,liter,Pengepul,1,3
289,2025-05-02,4,liter,Peternakan Sendiri,1,3
290,2025-05-03,3,liter,Peternakan Lain,1,3
291,2025-05-04,10,liter,Pengepul,1,3
292,2025-05-05,9,liter,Peternakan Lain,1,3
293,2025-05-06,13,liter,Pengepul,1,3
294,2025-05-07,7,liter,Peternakan Lain,1,3
295,2025-05-08,42,liter,Peternakan Lain,1,3
296,2025-05-09,30,liter,Peternakan Sendiri,1,3
297,2025-05-10,44,liter,Peternakan Sendiri,1,3
298,2025-05-11,30,liter,Pengepul,1,3
299,2025-05-12,11,liter,Peternakan Lain,1,3
300,2025-05-13,1,liter,Pengepul,1,3
301,2025-05-14,3,liter,Peternakan Sendiri,1,3
302,2025-05-15,45,liter,Pengepul,1,3
303,2025-05-16,18,liter,Pengepul,1,3
304,2025-05-17,16,liter,Peternakan Lain,1,3
305,2025-05-18,42,liter,Peternakan Lain,1,3
306,2025-05-19,10,liter,Peternakan Lain,1,3
307,2025-05-20,12,liter,Peternakan Lain,1,3
308,2025-05-21,30,liter,Peternakan Lain,1,3
309,2025-05-22,9,liter,Pengepul,1,3
310,2025-05-23,49,liter,Peternakan Lain,1,3
311,2025-05-24,44,liter,Peternakan Sendiri,1,3
312,2025-05-25,40,liter,Pengepul,1,3
313,2025-05-26,23,liter,Peternakan Lain,1,3
314,2025-05-27,6,liter,Peternakan Sendiri,1,3
315,2025-05-28,20,liter,Peternakan Sendiri,1,3
316,2025-05-29,47,liter,Pengepul,1,3
317,2025-05-30,21,liter,Peternakan Lain,1,3
318,2025-05-31,19,liter,Pengepul,1,3
319,2025-06-01,8,liter,Peternakan Lain,1,3
320,2025-06-02,37,liter,Pengepul,1,3
321,2025-06-03,3,liter,Peternakan Sendiri,1,3
322,2025-06-04,23,liter,Peternakan Sendiri,1,3
323,2025-06-05,35,liter,Peternakan Lain,1,3
324,2025-06-06,15,liter,Pengepul,1,3
325,2025-06-07,36,liter,Peternakan Lain,1,3
326,2025-06-08,29,liter,Peternakan Sendiri,1,3
327,2025-06-09,3,liter,Pengepul,1,3
328,2025-06-10,9,liter,Peternakan Sendiri,1,3
329,2025-06-11,9,liter,Peternakan Lain,1,3
330,2025-06-12,42,liter,Peternakan Lain,1,3
331,2025-06-13,6,liter,Peternakan Lain,1,3
332,2025-06-14,46,liter,Pengepul,1,3
333,2025-06-15,38,liter,Peternakan Lain,1,3
334,2025-06-16,24,liter,Peternakan Sendiri,1,3
335,2025-06-17,32,liter,Pengepul,1,3
336,2025-06-18,2,liter,Peternakan Lain,1,3
337,2025-06-19,14,liter,Peternakan Lain,1,3
338,2025-06-20,37,liter,Peternakan Sendiri,1,3
339,2025-06-21,16,liter,Pengepul,1,3
340,2025-06-22,18,liter,Pengepul,1,3
341,2025-06-23,10,liter,Pengepul,1,3
342,2025-06-24,21,liter,Peternakan Lain,1,3
343,2025-06-25,1,liter,Peternakan Lain,1,3
344,2025-06-26,43,liter,Peternakan Sendiri,1,3
345,2025-06-27,10,liter,Pengepul,1,3
346,2025-06-28,45,liter,Peternakan Lain,1,3
347,2025-06-29,16,liter,Peternakan Lain,1,3
348,2025-06-30,35,liter,Peternakan Lain,1,3
349,2025-07-01,1,liter,Peternakan Lain,1,3
350,2025-07-02,39,liter,Peternakan Lain,1,3
351,2025-07-03,1,liter,Peternakan Sendiri,1,3
352,2025-07-04,2,liter,Pengepul,1,3
353,2025-07-05,41,liter,Pengepul,1,3
354,2025-07-06,21,liter,Peternakan Lain,1,3
355,2025-07-07,46,liter,Peternakan Lain,1,3
356,2025-07-08,47,liter,Peternakan Lain,1,3
357,2025-07-09,2,liter,Pengepul,1,3
358,2025-07-10,40,liter,Peternakan Sendiri,1,3
359,2025-07-11,42,liter,Peternakan Lain,1,3
360,2025-07-12,41,liter,Peternakan Sendiri,1,3
361,2025-07-13,20,liter,Peternakan Lain,1,3
362,2025-07-14,36,liter,Peternakan Lain,1,3
363,2025-07-15,30,liter,Peternakan Lain,1,3
364,2025-07-16,43,liter,Pengepul,1,3
365,2025-07-17,36,liter,Peternakan Lain,1,3
366,2025-07-18,15,liter,Peternakan Sendiri,1,3
367,2025-07-19,22,liter,Peternakan Lain,1,3
368,2025-07-20,32,liter,Pengepul,1,3
369,2025-07-21,38,liter,Pengepul,1,3
370,2025-07-22,22,liter,Peternakan Lain,1,3
371,2025-07-23,13,liter,Peternakan Sendiri,1,3
372,2025-07-24,5,liter,Peternakan Sendiri,1,3
373,2025-07-25,37,liter,Peternakan Sendiri,1,3
374,2025-07-26,17,liter,Peternakan Lain,1,3
375,2025-07-27,19,liter,Pengepul,1,3
376,2025-07-28,2,liter,Peternakan Lain,1,3
377,2025-07-29,27,liter,Pengepul,1,3
378,2025-07-30,9,liter,Peternakan Sendiri,1,3
379,2025-07-31,49,liter,Pengepul,1,3
380,2025-08-01,32,liter,Peternakan Sendiri,1,3
381,2025-08-02,50,liter,Peternakan Lain,1,3
382,2025-08-03,50,liter,Pengepul,1,3
383,2025-08-04,31,liter,Peternakan Lain,1,3
384,2025-08-05,6,liter,Peternakan Lain,1,3
385,2025-08-06,13,liter,Peternakan Sendiri,1,3
386,2025-08-07,39,liter,Peternakan Sendiri,1,3
387,2025-08-08,41,liter,Peternakan Sendiri,1,3
388,2025-08-09,36,liter,Peternakan Lain,1,3
389,2025-08-10,5,liter,Peternakan Lain,1,3
390,2025-08-11,18,liter,Peternakan Sendiri,1,3
391,2025-08-12,40,liter,Peternakan Lain,1,3
392,2025-08-13,35,liter,Peternakan Lain,1,3
393,2025-08-14,50,liter,Peternakan Lain,1,3
394,2025-08-15,31,liter,Peternakan Sendiri,1,3
395,2025-08-16,47,liter,Peternakan Sendiri,1,3
396,2025-08-17,6,liter,Peternakan Lain,1,3
397,2025-08-18,20,liter,Peternakan Lain,1,3
398,2025-08-19,27,liter,Peternakan Lain,1,3
399,2025-08-20,35,liter,Peternakan Lain,1,3
400,2025-08-21,15,liter,Peternakan Lain,1,3
401,2025-08-22,29,liter,Peternakan Sendiri,1,3
402,2025-08-23,1,liter,Peternakan Sendiri,1,3
403,2025-08-24,7,liter,Pengepul,1,3
404,2025-08-25,35,liter,Pengepul,1,3
405,2025-08-26,21,liter,Peternakan Lain,1,3
406,2025-08-27,6,liter,Pengepul,1,3
407,2025-08-28,50,liter,Peternakan Lain,1,3
408,2025-08-29,29,liter,Peternakan Lain,1,3
409,2025-08-30,46,liter,Peternakan Lain,1,3
410,2025-08-31,20,liter,Peternakan Sendiri,1,3
411,2025-09-01,30,liter,Pengepul,1,3
412,2025-09-02,25,liter,Peternakan Sendiri,1,3
413,2025-09-03,10,liter,Pengepul,1,3
414,2025-09-04,13,liter,Peternakan Sendiri,1,3
415,2025-09-05,42,liter,Pengepul,1,3
416,2025-09-06,42,liter,Peternakan Lain,1,3
417,2025-09-07,20,liter,Pengepul,1,3
418,2025-09-08,22,liter,Peternakan Lain,1,3
419,2025-09-09,16,liter,Peternakan Lain,1,3
420,2025-09-10,10,liter,Pengepul,1,3
421,2025-09-11,16,liter,Peternakan Sendiri,1,3
422,2025-09-12,19,liter,Peternakan Lain,1,3
423,2025-09-13,3,liter,Peternakan Lain,1,3
424,2025-09-14,38,liter,Pengepul,1,3
425,2025-09-15,46,liter,Pengepul,1,3
426,2025-09-16,44,liter,Peternakan Lain,1,3
427,2025-09-17,36,liter,Peternakan Lain,1,3
428,2025-09-18,28,liter,Peternakan Sendiri,1,3
429,2025-09-19,15,liter,Peternakan Sendiri,1,3
430,2025-09-20,34,liter,Peternakan Lain,1,3
431,2025-09-21,43,liter,Peternakan Sendiri,1,3
432,2025-09-22,47,liter,Pengepul,1,3
433,2025-09-23,31,liter,Peternakan Sendiri,1,3
434,2025-09-24,9,liter,Peternakan Sendiri,1,3
435,2025-09-25,19,liter,Pengepul,1,3
436,2025-09-26,34,liter,Pengepul,1,3
437,2025-09-27,36,liter,Peternakan Sendiri,1,3
438,2025-09-28,34,liter,Pengepul,1,3
439,2025-09-29,34,liter,Peternakan Sendiri,1,3
440,2025-09-30,5,liter,Pengepul,1,3
441,2025-10-01,28,liter,Peternakan Sendiri,1,3
442,2025-10-02,22,liter,Peternakan Sendiri,1,3
443,2025-10-03,11,liter,Peternakan Sendiri,1,3
444,2025-10-04,12,liter,Peternakan Sendiri,1,3
445,2025-10-05,38,liter,Peternakan Sendiri,1,3
446,2025-10-06,25,liter,Pengepul,1,3
447,2025-10-07,34,liter,Pengepul,1,3
448,2025-10-08,20,liter,Pengepul,1,3
449,2025-10-09,1,liter,Peternakan Lain,1,3
450,2025-10-10,2,liter,Peternakan Lain,1,3
451,2025-10-11,5,liter,Peternakan Sendiri,1,3
452,2025-10-12,10,liter,Pengepul,1,3
453,2025-10-13,6,liter,Peternakan Lain,1,3
454,2025-10-14,8,liter,Peternakan Lain,1,3
455,2025-10-15,9,liter,Pengepul,1,3
456,2025-10-16,31,liter,Peternakan Lain,1,3
457,2025-10-17,23,liter,Peternakan Lain,1,3
458,2025-10-18,23,liter,Peternakan Sendiri,1,3
459,2025-10-19,37,liter,Peternakan Sendiri,1,3
460,2025-10-20,44,liter,Peternakan Sendiri,1,3
461,2025-10-21,46,liter,Pengepul,1,3
462,2025-10-22,3,liter,Peternakan Lain,1,3
463,2025-10-23,27,liter,Peternakan Lain,1,3
464,2025-10-24,3,liter,Pengepul,1,3
465,2025-10-25,44,liter,Peternakan Lain,1,3
466,2025-10-26,18,liter,Peternakan Lain,1,3
467,2025-10-27,39,liter,Peternakan Sendiri,1,3
468,2025-10-28,24,liter,Peternakan Sendiri,1,3
469,2025-10-29,16,liter,Peternakan Lain,1,3
470,2025-10-30,44,liter,Peternakan Lain,1,3
471,2025-10-31,48,liter,Peternakan Lain,1,3
472,2025-11-01,7,liter,Pengepul,1,3
473,2025-11-02,47,liter,Peternakan Sendiri,1,3
474,2025-11-03,24,liter,Peternakan Lain,1,3
475,2025-11-04,24,liter,Peternakan Sendiri,1,3
476,2025-11-05,16,liter,Peternakan Lain,1,3
477,2025-11-06,45,liter,Pengepul,1,3
478,2025-11-07,22,liter,Peternakan Lain,1,3
479,2025-11-08,3,liter,Pengepul,1,3
480,2025-11-09,6,liter,Peternakan Lain,1,3
481,2025-11-10,10,liter,Pengepul,1,3
482,2025-11-11,42,liter,Pengepul,1,3
483,2025-11-12,25,liter,Peternakan Lain,1,3
484,2025-11-13,29,liter,Pengepul,1,3
485,2025-11-14,5,liter,Peternakan Sendiri,1,3
486,2025-11-15,34,liter,Peternakan Lain,1,3
487,2025-11-16,23,liter,Peternakan Sendiri,1,3
488,2025-11-17,33,liter,Peternakan Sendiri,1,3
489,2025-11-18,41,liter,Pengepul,1,3
490,2025-11-19,41,liter,Peternakan Lain,1,3
491,2025-11-20,49,liter,Pengepul,1,3
492,2025-11-21,11,liter,Pengepul,1,3
493,2025-11-22,38,liter,Pengepul,1,3
494,2025-11-23,31,liter,Peternakan Sendiri,1,3
495,2025-11-24,48,liter,Pengepul,1,3
496,2025-11-25,3,liter,Pengepul,1,3
497,2025-11-26,37,liter,Peternakan Sendiri,1,3
498,2025-11-27,29,liter,Peternakan Sendiri,1,3
499,2025-11-28,36,liter,Peternakan Sendiri,1,3
500,2025-11-29,47,liter,Peternakan Sendiri,1,3
501,2025-11-30,30,liter,Peternakan Lain,1,3
502,2025-12-01,12,liter,Peternakan Sendiri,1,3
503,2025-12-02,25,liter,Peternakan Lain,1,3
504,2025-12-03,16,liter,Peternakan Sendiri,1,3
505,2025-12-04,14,liter,Peternakan Lain,1,3
506,2025-12-05,23,liter,Peternakan Sendiri,1,3
507,2025-12-06,17,liter,Pengepul,1,3
508,2025-12-07,18,liter,Peternakan Sendiri,1,3
509,2025-12-08,11,liter,Peternakan Lain,1,3
510,2025-12-09,1,liter,Peternakan Lain,1,3
511,2025-12-10,18,liter,Pengepul,1,3
512,2025-12-11,41,liter,Peternakan Sendiri,1,3
513,2025-12-12,38,liter,Peternakan Sendiri,1,3
514,2025-12-13,9,liter,Pengepul,1,3
515,2025-12-14,41,liter,Pengepul,1,3
516,2025-12-15,16,liter,Peternakan Lain,1,3
517,2025-12-16,46,liter,Peternakan Sendiri,1,3
518,2025-12-17,28,liter,Pengepul,1,3
