id,tgl_pencatatan,jml_lahir_pedaging_jantan,jml_lahir_pedaging_betina,jml_lahir_perah_jantan,jml_lahir_perah_betina,jml_mati_pedaging_jantan,jml_mati_pedaging_betina,jml_mati_perah_jantan,jml_mati_perah_betina,jml_mati_pedaging_anaan_jantan,jml_mati_pedaging_anakan_betina,jml_mati_perah_anakan_jantan,jml_mati_perah_anakan_betina,id_peternak
33,2024-08-19,25,0,0,42,0,47,0,0,1,0,0,0,1
34,2024-08-20,0,0,0,0,0,0,0,7,1,4,7,0,1
35,2024-08-21,0,0,39,0,0,0,42,0,1,0,0,0,1
36,2024-08-22,44,0,0,0,0,0,17,0,1,0,49,0,1
37,2024-08-23,28,0,0,50,0,0,0,0,1,42,0,0,1
38,2024-08-24,0,0,43,25,0,0,0,0,1,0,0,0,1
39,2024-08-25,0,0,0,42,0,0,0,0,1,0,0,0,1
40,2024-08-26,30,0,0,0,46,19,0,0,1,0,0,0,1
41,2024-08-27,0,36,0,0,0,22,0,0,1,11,0,0,1
42,2024-08-28,0,12,0,42,0,47,42,0,1,0,0,44,1
43,2024-08-29,0,0,0,45,0,0,0,8,1,0,0,0,1
44,2024-08-30,0,38,0,40,0,46,0,0,1,0,0,0,1
45,2024-08-31,0,0,14,0,48,0,0,0,1,49,0,0,1
46,2024-09-01,0,0,0,0,36,4,44,0,1,0,0,44,1
47,2024-09-02,0,0,0,30,0,0,0,23,1,0,0,0,1
48,2024-09-03,0,0,0,0,0,25,0,0,1,33,0,1,1
49,2024-09-04,0,0,35,4,0,0,0,0,1,0,0,0,1
50,2024-09-05,0,26,0,0,38,0,0,0,1,0,0,0,1
51,2024-09-06,0,0,0,0,30,0,0,0,1,0,0,0,1
52,2024-09-07,0,0,29,31,0,0,0,0,1,47,0,0,1
53,2024-09-08,0,0,0,7,0,0,0,0,1,0,47,0,1
54,2024-09-09,7,14,0,0,11,5,0,45,1,0,0,0,1
55,2024-09-10,0,0,0,46,26,0,0,0,1,17,0,0,1
56,2024-09-11,0,50,0,0,0,0,0,0,1,0,0,0,1
57,2024-09-12,0,0,0,0,39,0,0,0,1,30,0,0,1
58,2024-09-13,0,1,16,13,0,0,30,0,1,44,0,0,1
59,2024-09-14,0,0,6,0,0,0,0,0,1,36,20,42,1
60,2024-09-15,48,0,0,0,12,33,0,0,1,37,0,15,1
61,2024-09-16,35,0,0,36,0,0,0,0,1,5,0,0,1
62,2024-09-17,0,0,0,0,0,48,19,41,1,22,25,15,1
63,2024-09-18,0,0,0,0,45,0,0,0,1,0,0,0,1
64,2024-09-19,35,0,0,30,0,9,0,27,1,0,0,0,1
65,2024-09-20,0,0,46,0,0,0,12,0,1,0,0,0,1
66,2024-09-21,7,0,0,45,0,20,0,0,1,0,0,0,1
67,2024-09-22,0,0,0,0,23,48,4,0,1,1,43,0,1
68,2024-09-23,0,0,0,0,0,0,33,0,1,23,0,39,1
69,2024-09-24,0,0,30,0,0,45,9,21,1,0,0,0,1
70,2024-09-25,0,38,0,37,36,0,0,47,1,48,0,0,1
71,2024-09-26,18,0,0,0,0,0,36,0,1,0,40,0,1
72,2024-09-27,0,49,0,0,0,44,0,17,1,11,10,0,1
73,2024-09-28,0,0,0,0,0,0,0,0,1,41,0,0,1
74,2024-09-29,0,0,26,0,0,2,16,0,1,0,0,0,1
75,2024-09-30,20,0,11,0,41,0,0,0,1,38,14,0,1
76,2024-10-01,0,0,0,0,8,50,0,0,1,0,0,0,1
77,2024-10-02,0,0,0,0,0,0,0,0,1,0,45,0,1
78,2024-10-03,0,0,0,0,14,37,2,33,1,0,34,0,1
79,2024-10-04,0,0,2,0,0,0,50,37,1,0,0,0,1
80,2024-10-05,0,0,7,0,44,21,0,43,1,0,29,0,1
81,2024-10-06,0,0,0,41,0,0,0,0,1,14,0,30,1
82,2024-10-07,0,0,0,14,0,26,0,0,1,6,0,0,1
83,2024-10-08,0,0,0,10,0,32,0,0,1,0,0,0,1
84,2024-10-09,47,22,0,0,47,24,0,0,1,0,0,0,1
85,2024-10-10,0,0,48,14,0,0,0,0,1,0,0,0,1
86,2024-10-11,0,0,0,0,0,46,0,0,1,15,0,0,1
87,2024-10-12,0,0,46,14,46,27,21,21,1,0,16,0,1
88,2024-10-13,8,0,0,0,17,0,0,22,1,42,16,0,1
89,2024-10-14,0,0,0,48,0,0,0,0,1,0,0,0,1
90,2024-10-15,3,0,0,12,0,0,9,0,1,0,31,0,1
91,2024-10-16,0,0,0,25,50,26,0,0,1,0,13,0,1
92,2024-10-17,20,15,33,0,0,0,0,0,1,24,0,0,1
93,2024-10-18,0,0,0,0,0,0,0,20,1,0,0,0,1
94,2024-10-19,0,0,0,0,48,0,17,0,1,0,0,0,1
95,2024-10-20,1,0,0,0,0,0,0,0,1,0,20,21,1
96,2024-10-21,0,0,8,0,0,2,0,0,1,0,0,38,1
97,2024-10-22,0,0,0,47,8,0,0,0,1,25,0,0,1
98,2024-10-23,16,0,0,5,0,21,0,0,1,0,0,0,1
99,2024-10-24,0,0,0,0,0,0,0,0,1,4,0,0,1
100,2024-10-25,50,0,0,39,40,0,44,50,1,25,0,0,1
101,2024-10-26,10,0,0,8,0,0,0,18,1,39,39,0,1
102,2024-10-27,0,30,0,0,0,0,0,0,1,0,0,0,1
103,2024-10-28,39,24,0,0,0,0,0,0,1,33,2,0,1
104,2024-10-29,0,0,0,0,6,0,0,0,1,0,0,0,1
105,2024-10-30,44,0,0,16,0,32,0,0,1,0,46,11,1
106,2024-10-31,0,0,0,0,0,0,31,0,1,0,0,16,1
107,2024-11-01,0,15,0,20,49,40,0,0,1,0,0,0,1
108,2024-11-02,0,0,0,0,0,4,11,0,1,0,39,0,1
109,2024-11-03,47,12,0,0,0,0,0,29,1,0,0,29,1
110,2024-11-04,0,15,0,0,9,0,42,0,1,0,0,0,1
111,2024-11-05,48,16,0,0,0,0,0,0,1,0,14,0,1
112,2024-11-06,34,14,0,44,22,0,0,43,1,20,0,23,1
113,2024-11-07,0,10,0,27,22,0,14,7,1,31,30,0,1
114,2024-11-08,0,15,14,28,0,0,0,0,1,0,0,0,1
115,2024-11-09,0,0,0,8,0,43,14,0,1,0,0,8,1
116,2024-11-10,0,0,0,0,0,48,0,0,1,0,36,0,1
117,2024-11-11,0,0,0,0,0,0,0,0,1,33,0,48,1
118,2024-11-12,0,5,0,0,0,14,0,10,1,0,0,0,1
119,2024-11-13,0,26,0,0,0,16,0,0,1,0,0,0,1
120,2024-11-14,0,9,0,0,0,0,0,15,1,0,0,0,1
121,2024-11-15,0,0,0,0,0,0,49,0,1,31,0,3,1
122,2024-11-16,0,0,0,39,0,0,0,11,1,8,0,0,1
123,2024-11-17,33,11,0,17,0,0,0,0,1,1,44,15,1
124,2024-11-18,0,0,0,0,0,37,0,0,1,17,0,0,1
125,2024-11-19,0,27,0,0,0,0,0,47,1,0,0,0,1
126,2024-11-20,0,0,0,0,0,35,17,39,1,0,0,0,1
127,2024-11-21,0,0,0,0,0,0,0,47,1,0,0,0,1
128,2024-11-22,18,39,0,0,2,25,0,32,1,0,0,0,1
129,2024-11-23,0,0,26,5,0,0,30,0,1,0,41,0,1
130,2024-11-24,0,0,0,0,0,30,0,12,1,0,41,0,1
131,2024-11-25,0,0,0,0,35,26,12,29,1,0,0,0,1
132,2024-11-26,0,0,0,0,0,0,6,43,1,0,25,0,1
133,2024-11-27,0,0,22,28,0,0,20,0,1,0,0,0,1
134,2024-11-28,0,0,0,0,43,44,0,8,1,12,0,0,1
135,2024-11-29,0,0,0,0,0,40,0,0,1,0,0,13,1
136,2024-11-30,50,0,0,8,0,0,48,0,1,0,0,28,1
137,2024-12-01,28,0,15,0,0,2,0,0,1,0,29,0,1
138,2024-12-02,40,0,0,0,0,0,0,0,1,0,0,3,1
139,2024-12-03,0,0,0,0,0,0,0,19,1,43,0,0,1
140,2024-12-04,14,0,0,0,0,29,0,0,1,11,0,0,1
141,2024-12-05,20,0,0,0,0,0,0,0,1,25,0,0,1
142,2024-12-06,0,0,1,0,0,0,0,37,1,0,0,0,1
143,2024-12-07,32,0,0,0,46,0,0,0,1,0,0,2,1
144,2024-12-08,0,0,0,0,0,0,0,0,1,0,39,0,1
145,2024-12-09,36,0,9,0,28,0,0,49,1,0,0,29,1
146,2024-12-10,0,0,0,0,0,0,0,8,1,0,0,0,1
147,2024-12-11,0,0,50,0,26,0,31,0,1,0,0,6,1
148,2024-12-12,0,0,0,0,0,0,0,0,1,0,6,0,1
149,2024-12-13,0,0,0,13,43,0,0,0,1,30,41,0,1
150,2024-12-14,0,0,18,29,0,37,0,0,1,0,0,0,1
151,2024-12-15,0,47,0,22,28,0,0,4,1,0,0,38,1
152,2024-12-16,0,36,0,0,0,0,0,0,1,0,0,18,1
153,2024-12-17,0,0,0,40,0,23,38,0,1,0,23,6,1
154,2024-12-18,0,0,0,0,1,39,0,26,1,0,0,37,1
155,2024-12-19,0,0,0,0,26,0,0,0,1,0,0,0,1
156,2024-12-20,0,0,0,0,0,24,0,37,1,0,0,0,1
157,2024-12-21,0,47,29,0,0,0,0,24,1,11,20,44,1
158,2024-12-22,0,0,0,0,0,0,8,22,1,0,0,0,1
159,2024-12-23,0,17,8,0,0,0,0,22,1,25,33,0,1
160,2024-12-24,0,0,37,0,0,0,3,0,1,0,45,29,1
161,2024-12-25,44,0,28,0,0,0,25,38,1,0,0,0,1
162,2024-12-26,0,0,0,0,0,0,0,0,1,0,0,31,1
163,2024-12-27,0,49,0,29,0,46,0,0,1,0,0,28,1
164,2024-12-28,0,0,27,4,0,5,0,0,1,0,0,0,1
165,2024-12-29,0,0,0,0,28,0,22,0,1,0,25,0,1
166,2024-12-30,0,0,0,0,0,0,37,0,1,5,0,0,1
167,2024-12-31,0,6,0,0,0,0,0,0,1,0,0,0,1
168,2025-01-01,0,0,0,0,0,3,17,0,1,28,25,0,1
169,2025-01-02,0,0,0,0,0,39,0,0,1,0,46,0,1
170,2025-01-03,0,44,0,0,35,0,17,1,1,0,48,9,1
171,2025-01-04,0,43,39,0,0,37,0,0,1,0,0,0,1
172,2025-01-05,21,0,0,16,0,0,0,0,1,4,0,0,1
173,2025-01-06,9,0,39,0,0,0,0,15,1,0,48,0,1
174,2025-01-07,0,0,0,0,0,0,0,0,1,41,0,0,1
175,2025-01-08,0,0,5,0,38,0,0,0,1,0,24,0,1
176,2025-01-09,0,49,36,36,0,0,28,0,1,0,0,0,1
177,2025-01-10,14,0,0,0,0,0,0,0,1,0,14,0,1
178,2025-01-11,0,49,9,0,0,0,0,0,1,0,0,0,1
179,2025-01-12,0,0,0,0,7,8,0,23,1,0,0,0,1
180,2025-01-13,0,0,0,16,0,0,36,46,1,0,0,41,1
181,2025-01-14,0,0,0,0,0,0,0,0,1,0,0,0,1
182,2025-01-15,0,43,0,0,0,0,0,0,1,27,0,28,1
183,2025-01-16,14,0,0,0,0,0,0,0,1,0,45,0,1
184,2025-01-17,17,0,0,33,0,0,0,11,1,35,29,48,1
185,2025-01-18,0,0,0,0,5,0,0,0,1,38,0,0,1
186,2025-01-19,0,0,0,46,10,0,25,37,1,0,0,0,1
187,2025-01-20,25,18,14,0,0,0,13,41,1,0,23,0,1
188,2025-01-21,13,0,44,15,0,0,0,15,1,1,0,0,1
189,2025-01-22,0,5,10,0,0,0,31,0,1,0,0,0,1
190,2025-01-23,34,0,0,16,0,0,0,38,1,0,0,0,1
191,2025-01-24,0,25,0,0,0,18,0,0,1,36,0,41,1
192,2025-01-25,0,0,0,0,0,0,0,0,1,14,0,0,1
193,2025-01-26,0,0,43,34,0,25,30,0,1,0,43,0,1
194,2025-01-27,45,0,0,0,0,9,0,0,1,0,0,0,1
195,2025-01-28,20,0,47,9,0,0,32,0,1,0,0,36,1
196,2025-01-29,41,21,0,13,16,0,0,0,1,0,23,33,1
197,2025-01-30,0,0,0,24,0,0,0,12,1,0,0,27,1
198,2025-01-31,0,22,0,46,0,0,0,14,1,0,7,0,1
199,2025-02-01,0,0,0,0,0,0,0,0,1,0,43,0,1
200,2025-02-02,14,30,0,0,46,0,20,0,1,40,0,0,1
201,2025-02-03,16,0,0,0,0,0,0,0,1,0,0,0,1
202,2025-02-04,0,0,0,0,50,0,0,0,1,0,0,0,1
203,2025-02-05,16,39,0,0,0,0,0,0,1,12,2,0,1
204,2025-02-06,0,0,0,0,0,0,0,0,1,0,0,0,1
205,2025-02-07,0,28,0,0,0,0,0,42,1,13,34,14,1
206,2025-02-08,7,0,0,46,1,0,0,0,1,0,0,0,1
207,2025-02-09,48,0,0,0,0,0,0,12,1,42,0,0,1
208,2025-02-10,0,0,0,48,0,13,22,0,1,23,0,0,1
209,2025-02-11,0,0,46,0,0,40,0,25,1,0,0,50,1
210,2025-02-12,0,0,0,16,0,43,0,0,1,8,19,1,1
211,2025-02-13,0,0,0,0,46,0,28,37,1,0,0,0,1
212,2025-02-14,28,5,0,31,0,0,48,41,1,0,0,27,1
213,2025-02-15,0,0,0,0,0,0,0,19,1,17,0,32,1
214,2025-02-16,0,0,15,4,0,13,22,0,1,0,0,0,1
215,2025-02-17,0,0,0,0,0,0,18,0,1,0,0,44,1
216,2025-02-18,0,0,0,0,49,0,21,0,1,19,37,0,1
217,2025-02-19,0,43,0,0,0,0,0,41,1,10,0,19,1
218,2025-02-20,0,0,0,48,0,0,6,18,1,0,0,0,1
219,2025-02-21,18,17,0,9,0,32,0,0,1,10,26,0,1
220,2025-02-22,39,0,27,0,0,0,0,0,1,0,0,0,1
221,2025-02-23,21,0,0,48,0,0,0,0,1,0,0,0,1
222,2025-02-24,0,0,42,39,36,0,0,0,1,0,44,0,1
223,2025-02-25,0,0,9,0,23,0,0,0,1,0,0,10,1
224,2025-02-26,0,1,0,0,30,42,0,0,1,0,36,21,1
225,2025-02-27,0,0,0,0,0,0,0,0,1,49,0,42,1
226,2025-02-28,25,0,16,0,0,0,0,0,1,0,0,34,1
227,2025-03-01,0,13,0,0,4,0,0,30,1,0,0,6,1
228,2025-03-02,0,0,0,0,0,0,0,0,1,0,0,0,1
229,2025-03-03,0,0,17,0,43,46,0,0,1,1,45,0,1
230,2025-03-04,0,0,33,6,0,0,0,6,1,24,48,7,1
231,2025-03-05,46,0,44,0,0,0,0,29,1,0,0,0,1
232,2025-03-06,9,38,0,0,0,0,0,0,1,0,46,49,1
233,2025-03-07,0,0,0,0,0,46,0,33,1,0,45,0,1
234,2025-03-08,46,29,0,19,0,0,0,3,1,13,0,0,1
235,2025-03-09,0,0,0,0,0,0,1,0,1,34,0,27,1
236,2025-03-10,0,0,0,0,0,0,0,29,1,23,0,36,1
237,2025-03-11,0,39,0,0,42,21,0,0,1,0,0,31,1
238,2025-03-12,0,0,0,0,7,0,0,0,1,0,0,28,1
239,2025-03-13,0,0,31,0,0,0,0,0,1,26,0,0,1
240,2025-03-14,0,0,0,0,0,0,0,31,1,0,0,0,1
241,2025-03-15,0,0,0,0,5,37,42,0,1,0,16,0,1
242,2025-03-16,0,0,0,32,0,0,0,0,1,41,0,0,1
243,2025-03-17,20,10,0,0,26,0,0,0,1,0,0,0,1
244,2025-03-18,0,0,0,14,0,0,0,7,1,0,0,0,1
245,2025-03-19,0,0,0,0,0,0,0,0,1,0,0,39,1
246,2025-03-20,0,0,0,15,0,34,0,0,1,0,0,43,1
247,2025-03-21,20,0,0,0,13,0,0,0,1,0,0,0,1
248,2025-03-22,0,0,0,0,0,6,0,0,1,0,0,0,1
249,2025-03-23,0,0,30,0,1,0,0,0,1,0,49,46,1
250,2025-03-24,43,0,17,26,0,10,0,0,1,0,0,0,1
251,2025-03-25,0,3,0,0,0,28,0,0,1,6,25,0,1
252,2025-03-26,8,0,0,28,24,0,6,0,1,0,0,18,1
253,2025-03-27,39,0,0,0,0,0,0,0,1,0,0,0,1
254,2025-03-28,0,0,25,0,0,0,0,0,1,0,0,0,1
255,2025-03-29,30,0,0,25,0,8,33,3,1,0,0,0,1
256,2025-03-30,0,11,0,0,12,4,32,21,1,30,0,0,1
257,2025-03-31,0,0,0,0,0,0,32,3,1,0,0,42,1
258,2025-04-01,11,7,0,0,0,0,0,37,1,0,0,0,1
259,2025-04-02,0,0,31,0,0,0,0,0,1,0,0,0,1
260,2025-04-03,17,15,0,0,25,7,0,7,1,35,0,25,1
261,2025-04-04,0,0,0,0,3,0,0,0,1,0,0,0,1
262,2025-04-05,0,0,0,0,0,0,0,0,1,0,0,0,1
263,2025-04-06,40,0,0,50,33,0,0,49,1,0,0,44,1
264,2025-04-07,47,23,30,0,0,0,0,0,1,0,33,0,1
265,2025-04-08,0,0,0,28,23,21,0,43,1,0,14,0,1
266,2025-04-09,0,0,0,0,0,0,0,0,1,0,0,0,1
267,2025-04-10,0,0,42,0,0,25,0,5,1,0,16,0,1
268,2025-04-11,12,0,0,0,0,0,0,21,1,16,0,39,1
269,2025-04-12,0,0,0,0,0,3,0,28,1,0,0,17,1
270,2025-04-13,0,0,36,0,0,0,0,0,1,34,0,0,1
271,2025-04-14,42,0,0,0,0,0,0,0,1,0,0,0,1
272,2025-04-15,29,0,0,0,0,0,0,40,1,0,36,0,1
273,2025-04-16,0,0,0,0,0,0,0,31,1,0,0,0,1
274,2025-04-17,45,0,34,12,0,0,0,0,1,0,0,0,1
275,2025-04-18,0,4,0,0,47,0,0,0,1,0,0,0,1
276,2025-04-19,0,12,0,0,0,33,0,0,1,46,12,18,1
277,2025-04-20,0,0,29,0,0,0,0,22,1,0,5,0,1
278,2025-04-21,0,23,0,0,27,0,0,0,1,0,0,0,1
279,2025-04-22,0,0,0,14,0,0,0,0,1,0,16,48,1
280,2025-04-23,0,0,0,16,0,0,0,45,1,0,0,0,1
281,2025-04-24,19,34,0,49,32,0,42,19,1,17,47,7,1
282,2025-04-25,0,0,0,0,12,30,29,3,1,13,0,0,1
283,2025-04-26,0,41,0,0,7,14,2,12,1,0,0,25,1
284,2025-04-27,20,0,0,41,0,40,0,0,1,0,0,0,1
285,2025-04-28,0,0,12,0,0,8,14,0,1,0,0,0,1
286,2025-04-29,0,0,45,0,0,0,0,0,1,0,0,0,1
287,2025-04-30,0,0,0,50,0,43,31,0,1,0,0,43,1
288,2025-05-01,9,0,0,38,0,0,0,0,1,0,0,0,1
289,2025-05-02,29,40,21,0,0,10,0,11,1,0,0,0,1
290,2025-05-03,14,0,0,0,0,0,0,0,1,0,44,0,1
291,2025-05-04,0,0,0,0,34,1,36,0,1,0,0,17,1
292,2025-05-05,0,0,0,0,0,0,28,50,1,0,12,29,1
293,2025-05-06,0,0,0,5,0,0,0,0,1,24,0,28,1
294,2025-05-07,0,0,0,0,0,36,0,0,1,0,0,0,1
295,2025-05-08,27,0,0,0,0,0,25,0,1,0,0,6,1
296,2025-05-09,0,11,0,0,0,0,0,12,1,24,0,0,1
297,2025-05-10,32,44,0,39,0,0,0,0,1,46,0,0,1
298,2025-05-11,0,33,28,0,0,0,0,0,1,0,38,13,1
299,2025-05-12,42,0,42,0,0,0,0,0,1,0,27,0,1
300,2025-05-13,0,0,0,1,46,0,0,0,1,43,10,0,1
301,2025-05-14,27,0,0,0,5,0,0,0,1,0,5,0,1
302,2025-05-15,25,34,0,0,0,0,0,0,1,19,0,0,1
303,2025-05-16,0,0,0,0,13,0,0,44,1,0,19,0,1
304,2025-05-17,19,0,0,0,25,0,0,45,1,13,0,0,1
305,2025-05-18,0,0,4,0,10,0,0,26,1,0,13,1,1
306,2025-05-19,0,0,0,0,22,0,0,0,1,0,0,10,1
307,2025-05-20,0,0,0,0,0,8,0,15,1,8,0,49,1
308,2025-05-21,0,0,0,0,0,42,0,5,1,0,0,26,1
309,2025-05-22,0,50,0,0,0,0,2,0,1,0,0,4,1
310,2025-05-23,0,39,0,0,0,43,0,0,1,0,0,0,1
311,2025-05-24,13,21,0,0,0,0,0,0,1,0,0,30,1
312,2025-05-25,29,31,0,0,2,0,0,0,1,0,42,4,1
313,2025-05-26,33,0,0,0,0,0,9,3,1,0,49,0,1
314,2025-05-27,1,0,6,14,16,19,28,0,1,0,0,12,1
315,2025-05-28,44,37,0,11,0,38,6,42,1,0,0,0,1
316,2025-05-29,0,0,0,0,0,0,0,30,1,0,0,43,1
317,2025-05-30,0,37,48,0,0,0,0,0,1,0,38,0,1
318,2025-05-31,0,0,25,0,2,0,22,21,1,4,0,0,1
319,2025-06-01,4,0,30,0,0,0,9,0,1,0,0,0,1
320,2025-06-02,0,0,0,0,0,49,0,0,1,0,0,0,1
321,2025-06-03,0,0,23,0,19,32,0,0,1,22,0,0,1
322,2025-06-04,0,30,0,0,0,0,0,0,1,0,0,0,1
323,2025-06-05,5,0,47,26,0,0,0,49,1,26,0,31,1
324,2025-06-06,20,27,0,0,0,0,0,0,1,0,0,39,1
325,2025-06-07,19,0,0,0,0,0,0,0,1,43,0,0,1
326,2025-06-08,0,12,0,23,0,27,40,0,1,47,0,0,1
327,2025-06-09,47,0,0,0,0,0,0,0,1,0,42,0,1
328,2025-06-10,0,0,0,33,0,0,0,0,1,34,0,0,1
329,2025-06-11,0,0,0,0,0,0,0,0,1,48,0,0,1
330,2025-06-12,29,0,12,0,1,0,0,0,1,0,0,0,1
331,2025-06-13,0,35,12,0,0,0,0,0,1,0,0,28,1
332,2025-06-14,0,0,0,0,0,0,0,0,1,0,0,44,1
333,2025-06-15,0,20,0,0,35,0,0,0,1,0,0,0,1
334,2025-06-16,0,12,0,12,50,0,41,0,1,0,0,0,1
335,2025-06-17,0,6,0,22,24,41,0,0,1,1,0,0,1
336,2025-06-18,5,0,0,0,24,0,28,0,1,10,0,0,1
337,2025-06-19,0,0,0,0,0,0,0,0,1,0,22,0,1
338,2025-06-20,0,0,0,26,0,0,45,2,1,26,0,0,1
339,2025-06-21,37,0,10,26,0,0,0,0,1,17,0,0,1
340,2025-06-22,32,0,22,0,0,0,0,0,1,0,0,0,1
341,2025-06-23,37,48,30,0,0,7,0,0,1,0,0,36,1
342,2025-06-24,0,49,0,7,0,0,0,17,1,36,0,0,1
343,2025-06-25,17,0,0,0,26,33,0,0,1,18,0,0,1
344,2025-06-26,43,12,0,3,0,11,20,0,1,0,0,0,1
345,2025-06-27,0,0,0,0,0,20,47,0,1,0,0,0,1
346,2025-06-28,24,0,3,0,36,0,0,27,1,4,0,0,1
347,2025-06-29,26,50,0,0,0,34,0,0,1,0,0,25,1
348,2025-06-30,0,0,0,10,0,0,0,0,1,0,22,0,1
349,2025-07-01,0,0,0,0,11,0,0,1,1,0,0,0,1
350,2025-07-02,0,0,0,7,21,0,46,12,1,1,23,0,1
351,2025-07-03,17,0,13,0,47,0,0,37,1,0,0,22,1
352,2025-07-04,0,45,0,0,0,0,8,0,1,0,0,0,1
353,2025-07-05,0,0,0,0,0,0,48,0,1,0,27,0,1
354,2025-07-06,50,37,0,0,0,0,34,5,1,37,0,48,1
355,2025-07-07,0,2,0,0,0,0,14,0,1,0,0,0,1
356,2025-07-08,47,37,0,0,0,0,0,0,1,6,18,0,1
357,2025-07-09,0,0,0,0,23,0,0,13,1,0,0,33,1
358,2025-07-10,28,0,46,0,38,28,31,0,1,0,0,0,1
359,2025-07-11,0,0,0,0,13,40,0,43,1,16,0,0,1
360,2025-07-12,0,36,29,2,32,0,0,39,1,0,0,0,1
361,2025-07-13,0,0,0,0,0,14,0,49,1,0,0,29,1
362,2025-07-14,0,0,33,0,14,0,0,16,1,0,0,0,1
363,2025-07-15,0,0,0,24,0,17,0,0,1,22,44,0,1
364,2025-07-16,0,5,45,0,0,0,36,0,1,0,0,0,1
365,2025-07-17,36,0,0,38,12,0,0,0,1,0,0,0,1
366,2025-07-18,7,1,0,0,2,39,50,45,1,0,50,0,1
367,2025-07-19,0,5,0,0,0,3,43,0,1,7,0,11,1
368,2025-07-20,0,0,0,0,0,0,0,34,1,0,48,0,1
369,2025-07-21,12,0,0,41,6,0,39,0,1,14,32,0,1
370,2025-07-22,0,0,0,0,0,0,21,20,1,0,0,0,1
371,2025-07-23,0,0,20,0,16,0,38,0,1,0,0,10,1
372,2025-07-24,0,1,24,11,0,0,28,20,1,0,36,0,1
373,2025-07-25,47,24,36,0,0,0,39,0,1,0,23,0,1
374,2025-07-26,0,11,0,0,26,0,33,0,1,14,19,9,1
375,2025-07-27,0,28,0,0,0,0,0,0,1,0,0,16,1
376,2025-07-28,0,0,0,10,15,21,7,0,1,26,0,0,1
377,2025-07-29,0,46,27,0,29,0,0,39,1,0,0,0,1
378,2025-07-30,0,0,29,0,12,0,0,0,1,8,0,0,1
379,2025-07-31,0,26,0,0,0,0,45,0,1,0,0,43,1
380,2025-08-01,39,0,0,0,25,0,17,0,1,24,0,0,1
381,2025-08-02,0,26,0,0,10,0,0,18,1,44,32,0,1
382,2025-08-03,0,0,0,12,0,0,0,0,1,0,0,0,1
383,2025-08-04,4,16,0,0,2,0,0,0,1,18,0,9,1
384,2025-08-05,26,0,24,0,0,0,0,0,1,0,49,34,1
385,2025-08-06,0,0,0,0,26,30,0,0,1,17,0,0,1
386,2025-08-07,14,5,25,0,0,0,0,41,1,0,1,40,1
387,2025-08-08,0,0,0,0,20,0,0,0,1,0,0,0,1
