id,tgl_pencatatan,jenis_mitra_pengirim,jml_pedaging_jantan,jml_pedaging_betina,jml_pedaging_anakan_jantan,jml_pedaging_anakan_betina,jml_perah_jantan,jml_perah_betina,jml_perah_anakan_jantan,jml_perah_anakan_betina,id_peternak
84,2024-10-09,34,7,14,9,49,43,45,21,27,1
85,2024-10-10,4,43,34,25,41,37,39,31,25,1
86,2024-10-11,36,32,28,42,15,38,5,1,21,1
87,2024-10-12,1,39,22,8,8,17,13,35,13,1
88,2024-10-13,35,44,50,36,13,50,7,34,32,1
89,2024-10-14,15,14,4,50,15,7,41,1,42,1
90,2024-10-15,12,45,35,27,28,37,15,15,36,1
91,2024-10-16,1,26,45,46,39,7,10,39,20,1
92,2024-10-17,33,43,23,48,15,50,7,29,35,1
93,2024-10-18,13,37,35,21,1,37,30,41,20,1
94,2024-10-19,21,38,17,30,24,10,18,40,39,1
95,2024-10-20,49,37,24,25,50,46,39,48,46,1
96,2024-10-21,27,47,15,8,23,15,17,19,6,1
97,2024-10-22,34,17,14,15,3,40,15,18,38,1
98,2024-10-23,44,13,37,16,47,5,33,42,47,1
99,2024-10-24,43,14,27,50,31,8,35,29,21,1
100,2024-10-25,26,48,49,10,13,44,20,30,32,1
101,2024-10-26,49,36,48,28,5,21,45,39,16,1
102,2024-10-27,43,43,6,9,47,46,11,12,13,1
103,2024-10-28,22,9,12,34,41,23,13,27,27,1
104,2024-10-29,16,9,25,8,42,16,5,29,45,1
105,2024-10-30,30,46,25,47,48,44,39,32,17,1
106,2024-10-31,23,16,30,24,15,21,10,15,14,1
107,2024-11-01,45,35,18,40,25,7,41,19,13,1
108,2024-11-02,29,12,11,31,23,31,23,2,24,1
109,2024-11-03,26,30,12,21,28,18,40,19,17,1
110,2024-11-04,24,20,15,47,45,46,32,16,34,1
111,2024-11-05,39,32,24,24,4,14,1,8,10,1
112,2024-11-06,15,27,47,46,24,35,46,15,47,1
113,2024-11-07,31,49,28,11,32,38,4,50,4,1
114,2024-11-08,34,10,33,4,49,25,31,40,25,1
115,2024-11-09,10,41,6,47,47,2,5,31,9,1
116,2024-11-10,50,6,24,18,50,44,12,13,12,1
117,2024-11-11,30,2,35,24,13,29,16,25,11,1
118,2024-11-12,31,50,28,41,31,18,21,9,39,1
119,2024-11-13,44,16,47,18,46,12,36,20,34,1
120,2024-11-14,13,35,7,14,45,27,46,18,38,1
121,2024-11-15,14,15,24,1,11,36,18,5,32,1
122,2024-11-16,13,20,12,29,1,15,19,31,49,1
123,2024-11-17,3,40,39,27,20,2,29,40,29,1
124,2024-11-18,21,5,33,2,1,14,22,23,46,1
125,2024-11-19,50,9,46,1,13,25,44,33,27,1
126,2024-11-20,40,47,15,31,41,48,20,1,10,1
127,2024-11-21,45,22,6,18,30,11,14,15,4,1
128,2024-11-22,18,7,49,40,33,10,22,12,30,1
129,2024-11-23,18,14,33,26,11,12,7,47,39,1
130,2024-11-24,31,44,32,23,48,16,41,45,39,1
131,2024-11-25,5,7,28,29,1,29,30,10,1,1
132,2024-11-26,21,12,48,29,35,33,17,45,19,1
133,2024-11-27,30,15,30,25,30,21,10,15,39,1
134,2024-11-28,2,20,38,12,34,42,23,43,47,1
135,2024-11-29,19,27,39,46,46,50,39,31,50,1
136,2024-11-30,21,31,15,12,49,28,31,14,33,1
137,2024-12-01,18,27,43,45,31,40,7,39,32,1
138,2024-12-02,46,31,39,17,47,7,36,50,4,1
139,2024-12-03,42,17,19,39,2,5,7,7,32,1
140,2024-12-04,20,39,17,27,12,9,39,21,40,1
141,2024-12-05,42,47,35,38,29,38,17,28,31,1
142,2024-12-06,10,30,32,50,28,5,5,32,32,1
143,2024-12-07,7,16,21,16,31,31,7,14,19,1
144,2024-12-08,27,17,25,46,40,36,48,40,33,1
145,2024-12-09,18,21,50,28,9,25,16,26,33,1
146,2024-12-10,35,43,41,47,30,25,6,10,31,1
147,2024-12-11,48,7,37,10,41,6,6,21,24,1
148,2024-12-12,36,24,25,20,43,19,27,5,30,1
149,2024-12-13,17,40,3,23,4,4,29,2,17,1
150,2024-12-14,43,10,48,38,4,32,43,34,46,1
151,2024-12-15,36,29,2,26,5,48,6,15,50,1
152,2024-12-16,26,34,29,16,45,42,15,35,49,1
153,2024-12-17,9,7,2,13,44,33,17,15,3,1
154,2024-12-18,12,35,9,6,24,26,35,24,13,1
155,2024-12-19,1,23,46,46,43,2,39,38,36,1
156,2024-12-20,38,3,46,7,13,35,13,3,18,1
157,2024-12-21,42,2,1,19,42,1,25,13,50,1
158,2024-12-22,43,13,17,30,34,32,24,50,10,1
159,2024-12-23,2,9,43,19,20,41,40,22,2,1
160,2024-12-24,12,46,21,17,1,7,24,28,49,1
161,2024-12-25,44,36,15,27,18,33,22,46,22,1
162,2024-12-26,16,2,15,26,31,36,41,10,27,1
163,2024-12-27,43,19,36,43,26,26,48,41,50,1
164,2024-12-28,28,38,45,23,17,28,8,48,38,1
165,2024-12-29,36,24,10,8,34,46,16,18,16,1
166,2024-12-30,37,17,49,48,18,38,11,6,41,1
167,2024-12-31,18,26,31,25,33,28,29,6,14,1
168,2025-01-01,37,17,20,43,36,36,31,33,4,1
169,2025-01-02,49,10,7,4,27,25,2,39,37,1
170,2025-01-03,4,5,36,20,37,20,31,4,19,1
171,2025-01-04,22,23,47,1,42,10,39,37,30,1
172,2025-01-05,28,47,33,32,12,47,9,13,49,1
173,2025-01-06,22,14,4,38,48,25,17,17,35,1
174,2025-01-07,30,7,34,50,1,27,14,1,25,1
175,2025-01-08,27,47,42,32,5,12,16,44,24,1
176,2025-01-09,13,19,21,43,30,18,46,43,35,1
177,2025-01-10,22,18,7,28,2,32,50,7,14,1
178,2025-01-11,16,20,9,30,4,15,41,11,6,1
179,2025-01-12,17,18,9,15,35,33,39,36,22,1
180,2025-01-13,30,18,39,23,26,10,21,41,46,1
181,2025-01-14,9,47,7,23,11,42,48,16,28,1
182,2025-01-15,23,46,16,33,46,33,3,29,39,1
183,2025-01-16,39,30,17,41,48,4,38,22,23,1
184,2025-01-17,28,35,26,25,41,27,46,11,14,1
185,2025-01-18,18,38,40,43,50,4,42,9,15,1
186,2025-01-19,1,10,41,39,44,43,46,48,30,1
187,2025-01-20,14,35,10,27,44,30,19,33,23,1
188,2025-01-21,19,17,39,11,44,20,11,27,13,1
189,2025-01-22,17,32,8,47,29,9,39,20,4,1
190,2025-01-23,2,37,42,21,32,12,43,33,27,1
191,2025-01-24,6,46,10,50,50,29,22,1,28,1
192,2025-01-25,15,50,13,25,11,30,50,46,43,1
193,2025-01-26,34,24,40,50,12,38,22,32,30,1
194,2025-01-27,17,2,8,33,45,20,1,9,2,1
195,2025-01-28,45,27,34,19,13,14,39,6,2,1
196,2025-01-29,39,14,21,37,22,20,7,24,42,1
197,2025-01-30,30,40,19,3,31,13,5,25,14,1
198,2025-01-31,10,26,31,10,29,36,46,31,15,1
199,2025-02-01,32,41,35,24,20,16,19,41,15,1
200,2025-02-02,6,38,31,36,40,47,36,48,48,1
201,2025-02-03,40,27,11,38,34,36,16,49,36,1
202,2025-02-04,33,2,48,6,12,8,27,11,7,1
203,2025-02-05,34,44,17,45,44,8,44,31,6,1
204,2025-02-06,36,39,33,25,36,43,25,29,34,1
205,2025-02-07,2,18,1,49,14,12,45,39,2,1
206,2025-02-08,29,39,44,45,1,6,43,17,47,1
207,2025-02-09,9,4,41,46,23,2,50,10,7,1
208,2025-02-10,9,35,27,3,46,1,11,9,43,1
209,2025-02-11,34,11,22,19,12,37,16,15,15,1
210,2025-02-12,23,6,7,42,34,11,47,10,3,1
211,2025-02-13,33,30,47,24,38,46,5,39,50,1
212,2025-02-14,47,1,27,34,48,27,23,47,47,1
213,2025-02-15,42,18,19,1,35,20,48,45,3,1
214,2025-02-16,34,23,45,24,33,10,37,14,4,1
215,2025-02-17,31,37,27,39,21,28,6,26,11,1
216,2025-02-18,8,15,45,14,28,14,4,6,48,1
217,2025-02-19,23,20,23,46,39,39,27,16,7,1
218,2025-02-20,42,48,29,31,44,1,2,45,49,1
219,2025-02-21,39,18,43,26,9,10,1,22,6,1
220,2025-02-22,50,46,40,18,45,20,37,21,21,1
221,2025-02-23,47,24,30,26,45,19,24,10,26,1
222,2025-02-24,32,36,33,49,48,28,45,48,37,1
223,2025-02-25,13,4,50,10,13,28,10,36,43,1
224,2025-02-26,9,31,29,30,46,3,12,39,11,1
225,2025-02-27,45,19,37,15,45,44,34,44,19,1
226,2025-02-28,49,7,2,4,16,31,5,12,50,1
227,2025-03-01,31,40,30,14,40,24,16,43,22,1
228,2025-03-02,23,1,46,24,16,24,16,9,19,1
229,2025-03-03,13,4,50,26,1,27,4,29,3,1
230,2025-03-04,19,14,3,21,49,32,26,49,41,1
231,2025-03-05,19,50,42,9,21,40,16,41,25,1
232,2025-03-06,24,1,3,2,40,23,34,2,22,1
233,2025-03-07,18,7,32,25,48,40,33,47,20,1
234,2025-03-08,41,9,44,47,4,46,38,8,10,1
235,2025-03-09,7,37,44,47,47,22,21,1,34,1
236,2025-03-10,12,8,34,7,20,3,36,2,32,1
237,2025-03-11,45,29,20,27,21,36,48,29,15,1
238,2025-03-12,32,47,47,31,10,23,49,4,31,1
239,2025-03-13,15,40,28,16,2,13,30,47,4,1
240,2025-03-14,17,12,37,37,13,20,13,32,11,1
241,2025-03-15,4,42,17,37,37,48,38,9,33,1
242,2025-03-16,1,26,40,20,12,7,25,49,34,1
243,2025-03-17,2,35,41,50,28,50,32,43,32,1
244,2025-03-18,33,19,37,5,26,8,31,21,41,1
245,2025-03-19,33,38,31,12,38,17,35,28,27,1
246,2025-03-20,43,47,24,15,1,23,46,30,6,1
247,2025-03-21,12,7,28,26,48,45,50,4,35,1
248,2025-03-22,14,5,41,30,16,34,39,36,45,1
249,2025-03-23,41,31,40,9,44,40,32,44,34,1
250,2025-03-24,3,22,6,43,48,37,6,36,37,1
251,2025-03-25,32,44,8,4,45,24,32,15,37,1
252,2025-03-26,34,20,21,19,5,14,38,19,43,1
253,2025-03-27,9,14,11,9,25,46,34,4,2,1
254,2025-03-28,1,46,7,7,49,32,24,50,44,1
255,2025-03-29,13,2,25,47,37,26,5,14,34,1
256,2025-03-30,33,44,42,39,32,29,14,28,30,1
257,2025-03-31,11,25,26,1,7,28,31,18,42,1
258,2025-04-01,37,32,34,28,12,43,3,15,16,1
259,2025-04-02,28,29,6,19,40,19,1,40,42,1
260,2025-04-03,23,40,20,21,46,36,50,36,10,1
261,2025-04-04,48,47,4,48,30,4,37,5,49,1
262,2025-04-05,14,49,39,46,43,11,34,41,12,1
263,2025-04-06,15,18,38,26,14,21,44,22,42,1
264,2025-04-07,46,10,26,47,44,40,8,21,32,1
265,2025-04-08,47,33,41,15,17,20,32,30,5,1
266,2025-04-09,21,2,24,2,30,28,41,26,39,1
267,2025-04-10,5,22,5,28,7,45,9,1,45,1
268,2025-04-11,49,29,50,47,33,29,34,31,10,1
269,2025-04-12,42,11,50,23,35,36,4,12,44,1
270,2025-04-13,39,37,48,14,43,2,22,30,39,1
271,2025-04-14,19,44,42,24,4,24,11,20,47,1
272,2025-04-15,11,43,43,3,5,42,45,9,41,1
273,2025-04-16,12,7,41,32,35,15,41,29,17,1
274,2025-04-17,25,15,48,46,14,16,49,42,22,1
275,2025-04-18,33,24,39,13,43,25,34,38,12,1
276,2025-04-19,5,17,38,34,9,46,33,3,2,1
277,2025-04-20,26,42,37,10,41,48,13,16,6,1
278,2025-04-21,24,45,31,29,32,42,42,15,28,1
279,2025-04-22,33,36,38,4,39,28,38,31,48,1
280,2025-04-23,30,14,45,36,16,32,28,48,7,1
281,2025-04-24,14,16,12,3,40,36,34,37,17,1
282,2025-04-25,28,29,2,45,8,32,5,9,43,1
283,2025-04-26,35,36,15,29,16,25,36,35,44,1
284,2025-04-27,33,39,5,2,16,29,37,3,10,1
285,2025-04-28,8,29,41,26,28,45,27,19,16,1
286,2025-04-29,29,42,20,10,44,32,22,11,10,1
287,2025-04-30,33,45,17,48,26,45,13,10,21,1
288,2025-05-01,35,49,29,40,23,2,3,25,16,1
289,2025-05-02,39,39,39,3,32,38,13,49,45,1
290,2025-05-03,48,12,1,29,3,2,36,16,13,1
291,2025-05-04,45,14,47,29,9,33,13,26,22,1
292,2025-05-05,24,29,4,46,11,3,31,48,38,1
293,2025-05-06,15,42,20,2,3,10,50,49,48,1
294,2025-05-07,17,6,9,28,25,36,11,12,27,1
295,2025-05-08,27,36,41,20,8,15,43,4,40,1
296,2025-05-09,42,23,8,34,9,11,24,33,43,1
297,2025-05-10,36,19,10,41,25,9,30,28,17,1
298,2025-05-11,45,4,45,30,24,32,23,4,21,1
299,2025-05-12,8,17,23,50,20,22,34,9,39,1
300,2025-05-13,12,9,47,15,12,42,37,17,15,1
301,2025-05-14,28,40,9,8,9,6,16,10,3,1
302,2025-05-15,26,31,43,45,14,23,27,30,5,1
303,2025-05-16,47,25,4,5,20,2,14,1,27,1
304,2025-05-17,20,28,7,20,34,45,3,41,18,1
305,2025-05-18,49,38,6,14,33,33,23,15,11,1
306,2025-05-19,20,2,36,45,9,42,26,20,23,1
307,2025-05-20,8,49,23,5,4,37,38,20,18,1
308,2025-05-21,13,15,42,13,28,29,31,6,21,1
309,2025-05-22,17,39,14,8,36,34,33,3,40,1
310,2025-05-23,9,46,47,18,11,46,5,31,42,1
311,2025-05-24,20,32,25,4,7,44,30,23,46,1
312,2025-05-25,26,11,11,23,31,12,24,42,30,1
313,2025-05-26,19,38,45,44,6,15,20,5,47,1
314,2025-05-27,12,33,6,37,36,12,22,16,39,1
315,2025-05-28,9,14,44,33,44,22,41,28,49,1
316,2025-05-29,14,30,24,38,50,33,34,23,32,1
317,2025-05-30,5,21,26,8,32,13,16,15,18,1
318,2025-05-31,20,29,50,50,39,30,41,40,1,1
319,2025-06-01,31,48,7,12,16,37,4,32,43,1
320,2025-06-02,13,3,39,9,36,21,31,37,47,1
321,2025-06-03,19,34,6,9,22,15,36,7,8,1
322,2025-06-04,46,8,10,41,45,32,29,19,7,1
323,2025-06-05,25,38,3,32,29,34,16,8,43,1
324,2025-06-06,1,14,5,4,14,5,30,29,20,1
325,2025-06-07,36,33,30,34,50,50,38,47,9,1
326,2025-06-08,19,31,14,50,11,8,42,18,32,1
327,2025-06-09,3,29,45,28,43,33,39,45,14,1
328,2025-06-10,34,42,15,14,6,26,39,33,34,1
329,2025-06-11,17,14,10,5,22,20,32,7,17,1
330,2025-06-12,33,48,49,46,8,41,23,37,46,1
331,2025-06-13,20,13,44,20,7,5,4,15,10,1
332,2025-06-14,30,24,7,19,38,36,1,28,1,1
333,2025-06-15,45,17,36,17,50,35,10,11,11,1
334,2025-06-16,48,35,36,12,2,5,6,39,5,1
335,2025-06-17,29,5,32,36,40,48,34,9,18,1
336,2025-06-18,50,14,23,8,44,42,47,11,11,1
337,2025-06-19,15,42,33,36,6,41,35,37,3,1
338,2025-06-20,22,49,10,42,1,29,46,32,43,1
339,2025-06-21,25,42,30,15,21,23,32,47,46,1
340,2025-06-22,38,8,35,48,50,35,48,45,30,1
341,2025-06-23,26,6,19,47,5,50,17,5,8,1
342,2025-06-24,25,11,22,41,49,37,15,28,13,1
343,2025-06-25,49,37,19,33,29,49,29,39,45,1
344,2025-06-26,38,11,49,22,7,40,24,27,34,1
345,2025-06-27,15,5,27,4,10,30,18,31,21,1
346,2025-06-28,24,47,17,45,41,31,30,15,32,1
347,2025-06-29,4,10,50,18,25,16,1,18,43,1
348,2025-06-30,14,34,11,5,44,12,2,24,33,1
349,2025-07-01,22,46,4,13,26,34,32,30,40,1
350,2025-07-02,16,1,45,45,2,6,20,26,45,1
351,2025-07-03,40,49,39,10,9,34,12,49,17,1
352,2025-07-04,5,2,2,11,21,14,16,18,4,1
353,2025-07-05,25,21,2,13,33,18,22,44,45,1
354,2025-07-06,35,30,14,47,6,31,16,7,30,1
355,2025-07-07,45,4,15,32,20,12,39,11,4,1
356,2025-07-08,21,50,30,6,26,7,34,8,2,1
357,2025-07-09,12,20,37,42,30,5,29,32,8,1
358,2025-07-10,35,39,12,42,36,2,20,38,16,1
359,2025-07-11,50,32,28,46,19,38,15,38,19,1
360,2025-07-12,20,50,20,25,42,28,16,38,15,1
361,2025-07-13,47,44,49,5,15,23,2,12,2,1
362,2025-07-14,31,50,43,22,15,29,16,24,14,1
363,2025-07-15,21,22,1,17,34,27,27,36,15,1
364,2025-07-16,40,42,40,37,36,9,37,25,27,1
365,2025-07-17,3,33,21,44,1,8,20,44,6,1
366,2025-07-18,12,6,20,42,23,37,10,43,28,1
367,2025-07-19,23,31,14,10,9,10,23,10,6,1
368,2025-07-20,34,22,12,21,42,19,28,15,14,1
369,2025-07-21,40,22,36,18,21,41,33,48,29,1
370,2025-07-22,46,19,18,3,16,26,28,9,40,1
371,2025-07-23,46,33,50,39,26,43,11,10,29,1
372,2025-07-24,1,32,19,31,4,27,4,14,28,1
373,2025-07-25,23,47,38,16,26,4,30,28,40,1
374,2025-07-26,10,41,19,46,32,42,10,15,37,1
375,2025-07-27,41,32,28,12,50,36,36,47,48,1
376,2025-07-28,33,11,12,8,47,37,25,39,25,1
377,2025-07-29,26,15,13,46,39,10,36,16,46,1
378,2025-07-30,14,25,6,43,46,43,34,9,32,1
379,2025-07-31,45,5,47,49,6,6,45,14,33,1
380,2025-08-01,41,49,1,44,47,43,22,36,12,1
381,2025-08-02,42,1,37,12,5,45,9,32,34,1
382,2025-08-03,12,13,37,19,41,18,48,36,3,1
383,2025-08-04,43,48,48,5,30,33,2,5,13,1
384,2025-08-05,4,39,13,11,17,37,40,34,2,1
385,2025-08-06,39,47,11,20,48,49,23,7,20,1
386,2025-08-07,18,16,20,24,4,11,49,1,23,1
387,2025-08-08,39,50,42,49,16,39,8,24,44,1
388,2025-08-09,1,30,43,27,45,29,37,21,48,1
389,2025-08-10,12,31,39,40,40,17,39,41,7,1
390,2025-08-11,33,7,45,21,26,27,13,50,10,1
391,2025-08-12,25,28,20,2,30,30,2,18,23,1
392,2025-08-13,20,11,1,39,28,25,25,41,49,1
393,2025-08-14,32,44,16,22,50,46,5,11,34,1
394,2025-08-15,3,20,43,26,29,46,9,4,50,1
395,2025-08-16,8,25,7,33,46,4,45,47,32,1
396,2025-08-17,30,21,50,28,26,24,19,48,4,1
397,2025-08-18,10,1,7,29,43,10,21,7,47,1
398,2025-08-19,37,43,13,3,10,48,11,29,11,1
399,2025-08-20,18,2,3,36,8,16,22,1,6,1
400,2025-08-21,42,32,47,18,12,37,21,49,13,1
401,2025-08-22,3,31,48,32,4,38,32,48,26,1
402,2025-08-23,24,13,48,12,40,4,14,22,14,1
403,2025-08-24,18,8,48,5,24,48,39,31,26,1
404,2025-08-25,24,37,43,1,37,45,16,27,28,1
405,2025-08-26,9,27,42,42,34,2,44,33,49,1
406,2025-08-27,7,23,39,48,32,11,32,3,28,1
407,2025-08-28,8,50,9,26,47,42,19,48,34,1
408,2025-08-29,9,26,29,46,10,29,48,41,26,1
409,2025-08-30,29,44,33,48,31,15,35,16,37,1
410,2025-08-31,4,31,50,42,29,29,18,48,49,1
411,2025-09-01,11,4,36,46,22,36,4,11,7,1
412,2025-09-02,32,31,8,11,38,3,19,27,47,1
413,2025-09-03,36,38,4,13,2,27,33,22,24,1
414,2025-09-04,39,36,7,2,16,31,14,3,19,1
415,2025-09-05,6,14,19,19,48,19,44,13,46,1
416,2025-09-06,17,41,15,2,29,15,50,1,39,1
417,2025-09-07,37,43,6,15,12,19,15,8,15,1
418,2025-09-08,48,28,48,22,3,18,19,24,43,1
419,2025-09-09,49,45,41,50,40,1,43,40,33,1
420,2025-09-10,42,48,46,27,17,4,29,21,8,1
421,2025-09-11,5,37,50,24,30,18,7,22,43,1
422,2025-09-12,13,47,42,29,14,21,27,10,22,1
423,2025-09-13,39,48,44,43,28,11,15,25,38,1
424,2025-09-14,27,7,48,50,31,8,17,49,41,1
425,2025-09-15,46,11,43,10,41,2,43,37,48,1
426,2025-09-16,42,34,16,42,2,13,19,45,44,1
427,2025-09-17,42,31,13,11,47,43,50,15,15,1
428,2025-09-18,17,6,2,31,11,16,38,10,33,1
429,2025-09-19,29,28,38,19,11,38,34,45,29,1
430,2025-09-20,42,29,36,2,12,39,17,18,50,1
431,2025-09-21,7,47,47,25,25,4,21,46,42,1
432,2025-09-22,3,30,5,41,41,33,42,7,18,1
433,2025-09-23,22,28,15,44,1,2,11,31,34,1
434,2025-09-24,32,5,9,6,9,19,12,14,24,1
435,2025-09-25,50,49,38,34,26,24,48,43,28,1
436,2025-09-26,36,42,14,47,24,15,19,30,10,1
437,2025-09-27,6,26,9,13,25,47,28,5,38,1
438,2025-09-28,2,22,29,38,3,38,24,14,50,1
439,2025-09-29,4,3,23,24,46,38,50,2,38,1
440,2025-09-30,28,29,16,8,27,9,10,12,2,1
441,2025-10-01,2,29,34,28,44,34,17,35,6,1
442,2025-10-02,14,13,22,41,22,19,21,9,42,1
443,2025-10-03,25,10,45,17,42,48,40,40,26,1
444,2025-10-04,10,49,32,17,44,21,14,16,49,1
445,2025-10-05,27,20,4,13,18,34,41,20,17,1
446,2025-10-06,44,3,14,10,50,2,35,5,25,1
447,2025-10-07,49,47,48,22,28,42,31,8,44,1
448,2025-10-08,41,6,24,43,4,41,8,7,31,1
449,2025-10-09,34,6,43,21,47,29,39,23,20,1
450,2025-10-10,13,49,20,31,18,6,22,44,23,1
451,2025-10-11,4,14,14,38,13,6,10,46,14,1
452,2025-10-12,7,18,25,34,28,27,25,3,29,1
453,2025-10-13,22,42,38,42,46,31,17,3,47,1
454,2025-10-14,12,4,36,34,11,11,1,8,15,1
455,2025-10-15,44,28,21,11,1,12,15,24,17,1
456,2025-10-16,41,21,22,22,3,47,47,7,5,1
457,2025-10-17,32,26,39,43,7,19,25,19,46,1
458,2025-10-18,16,28,8,13,7,36,36,14,49,1
459,2025-10-19,12,25,47,17,45,49,7,29,5,1
460,2025-10-20,23,31,8,44,13,11,10,48,10,1
461,2025-10-21,47,22,12,24,11,11,25,18,10,1
462,2025-10-22,39,30,48,14,6,4,4,23,48,1
463,2025-10-23,46,31,10,46,36,10,31,22,44,1
464,2025-10-24,35,9,8,28,8,10,31,48,20,1
465,2025-10-25,47,9,2,18,9,18,23,39,1,1
466,2025-10-26,14,32,16,47,15,27,18,28,34,1
467,2025-10-27,17,9,46,21,39,47,30,33,34,1
468,2025-10-28,24,49,5,38,8,2,32,14,23,1
469,2025-10-29,30,42,4,45,47,45,29,33,16,1
470,2025-10-30,48,2,27,43,33,48,27,5,13,1
471,2025-10-31,34,41,1,44,48,42,39,38,35,1
472,2025-11-01,2,19,2,39,4,31,16,10,20,1
