id,tgl_pencatatan,jenis_mitra_penerima,jml_pedaging_jantan,jml_pedaging_betina,jml_pedaging_anakan_jantan,jml_pedaging_anakan_betina,jml_perah_jantan,jml_perah_betina,jml_perah_anakan_jantan,jml_perah_anakan_betina,id_peternak
209,2025-02-11,31,36,13,16,39,14,39,38,41,1
210,2025-02-12,41,32,20,18,36,19,48,49,16,1
211,2025-02-13,16,9,49,17,43,42,5,44,42,1
212,2025-02-14,46,40,39,21,48,18,31,30,26,1
213,2025-02-15,50,50,31,43,42,7,4,47,20,1
214,2025-02-16,11,5,45,13,21,11,19,13,10,1
215,2025-02-17,4,3,39,45,39,50,41,23,7,1
216,2025-02-18,10,38,28,27,13,48,14,1,24,1
217,2025-02-19,17,28,41,48,49,9,9,35,44,1
218,2025-02-20,26,39,42,40,23,36,1,43,36,1
219,2025-02-21,24,42,6,14,26,13,20,44,37,1
220,2025-02-22,48,27,36,32,37,15,35,41,24,1
221,2025-02-23,35,18,24,41,39,44,11,43,39,1
222,2025-02-24,20,49,34,18,40,21,43,46,16,1
223,2025-02-25,12,50,45,31,2,48,43,32,15,1
224,2025-02-26,32,28,16,8,8,10,35,10,18,1
225,2025-02-27,5,40,47,22,30,36,2,25,37,1
226,2025-02-28,25,26,6,36,44,48,26,12,18,1
227,2025-03-01,25,41,27,12,45,13,15,10,44,1
228,2025-03-02,30,46,42,1,29,25,21,45,2,1
229,2025-03-03,5,49,18,44,8,17,3,36,15,1
230,2025-03-04,12,18,10,13,45,44,39,37,7,1
231,2025-03-05,18,16,48,39,6,32,3,43,48,1
232,2025-03-06,50,45,35,37,3,7,5,13,11,1
233,2025-03-07,29,24,39,5,19,24,36,42,9,1
234,2025-03-08,47,11,12,31,44,25,46,43,39,1
235,2025-03-09,10,7,38,4,19,22,28,42,20,1
236,2025-03-10,41,42,30,44,11,18,44,47,41,1
237,2025-03-11,11,24,22,28,11,7,15,5,27,1
238,2025-03-12,24,39,46,20,3,30,44,2,14,1
239,2025-03-13,29,7,14,17,42,27,38,30,20,1
240,2025-03-14,5,21,3,10,17,10,43,2,3,1
241,2025-03-15,37,39,6,15,39,43,5,33,12,1
242,2025-03-16,35,49,41,15,45,38,35,17,38,1
243,2025-03-17,48,24,42,41,15,44,4,15,32,1
244,2025-03-18,31,31,28,35,42,14,12,43,26,1
245,2025-03-19,25,40,38,29,43,18,33,21,11,1
246,2025-03-20,7,17,27,31,8,20,7,23,7,1
247,2025-03-21,25,32,44,9,43,15,46,24,47,1
248,2025-03-22,30,37,42,10,4,13,32,22,44,1
249,2025-03-23,13,23,28,5,20,39,31,49,11,1
250,2025-03-24,38,2,43,15,6,29,42,13,11,1
251,2025-03-25,5,50,41,32,42,48,5,2,29,1
252,2025-03-26,5,47,50,43,13,29,9,32,22,1
253,2025-03-27,9,25,15,6,16,2,36,28,41,1
254,2025-03-28,15,12,43,45,6,47,16,21,22,1
255,2025-03-29,1,9,47,19,46,32,46,40,17,1
256,2025-03-30,44,13,41,46,17,7,10,15,36,1
257,2025-03-31,19,6,38,5,24,7,41,17,6,1
258,2025-04-01,20,13,29,25,37,24,33,13,6,1
259,2025-04-02,22,13,50,16,44,30,35,6,9,1
260,2025-04-03,17,35,42,41,35,42,27,38,27,1
261,2025-04-04,37,29,48,39,28,22,40,41,44,1
262,2025-04-05,21,27,46,50,6,10,26,28,20,1
263,2025-04-06,46,44,25,21,22,28,38,12,20,1
264,2025-04-07,3,3,31,45,15,42,1,32,45,1
265,2025-04-08,18,37,15,16,17,19,17,37,27,1
266,2025-04-09,9,39,8,8,5,41,9,25,25,1
267,2025-04-10,20,11,6,26,1,37,44,25,47,1
268,2025-04-11,41,3,41,28,6,23,37,31,29,1
269,2025-04-12,18,4,43,41,32,18,5,24,5,1
270,2025-04-13,12,33,28,9,26,12,10,29,17,1
271,2025-04-14,14,41,38,17,34,43,18,28,16,1
272,2025-04-15,9,21,37,23,10,49,9,49,21,1
273,2025-04-16,18,7,33,7,29,1,45,44,11,1
274,2025-04-17,35,21,3,36,46,49,49,2,45,1
275,2025-04-18,20,23,45,35,14,28,12,40,17,1
276,2025-04-19,10,32,4,36,17,14,12,38,35,1
277,2025-04-20,31,4,40,4,14,18,27,31,40,1
278,2025-04-21,34,21,2,10,19,4,21,27,38,1
279,2025-04-22,40,27,50,39,26,13,6,40,18,1
280,2025-04-23,34,47,20,20,21,23,28,41,8,1
281,2025-04-24,43,15,25,11,6,47,20,27,30,1
282,2025-04-25,31,9,24,33,3,39,2,48,6,1
283,2025-04-26,9,50,26,40,47,49,13,17,13,1
284,2025-04-27,48,42,20,31,22,3,31,4,2,1
285,2025-04-28,16,46,36,47,46,20,31,20,37,1
286,2025-04-29,47,26,48,34,15,23,32,42,6,1
287,2025-04-30,40,41,19,9,31,36,37,28,37,1
288,2025-05-01,39,16,26,48,6,29,3,37,26,1
289,2025-05-02,2,49,36,32,48,24,48,16,6,1
290,2025-05-03,8,19,3,23,23,44,25,41,49,1
291,2025-05-04,28,34,22,9,34,29,33,14,1,1
292,2025-05-05,36,14,14,28,47,13,9,34,21,1
293,2025-05-06,9,49,34,50,27,24,38,47,48,1
294,2025-05-07,35,10,32,4,38,47,7,5,6,1
295,2025-05-08,1,26,24,8,32,3,19,39,39,1
296,2025-05-09,32,31,39,45,10,45,9,13,26,1
297,2025-05-10,12,43,24,49,35,35,13,6,44,1
298,2025-05-11,41,1,44,11,11,50,40,35,11,1
299,2025-05-12,10,26,7,29,8,46,34,44,32,1
300,2025-05-13,42,42,10,38,49,7,5,30,21,1
301,2025-05-14,16,24,7,4,17,14,3,42,33,1
302,2025-05-15,17,45,30,41,28,3,13,46,30,1
303,2025-05-16,7,41,22,4,16,1,49,46,4,1
304,2025-05-17,15,36,3,2,50,18,36,43,15,1
305,2025-05-18,44,15,38,22,47,4,9,26,17,1
306,2025-05-19,41,8,4,32,16,41,2,29,36,1
307,2025-05-20,29,21,9,30,19,3,16,2,20,1
308,2025-05-21,26,33,26,39,18,36,26,25,27,1
309,2025-05-22,27,48,3,22,14,13,45,31,40,1
310,2025-05-23,31,3,22,38,14,8,32,4,38,1
311,2025-05-24,39,35,34,38,30,21,33,47,45,1
312,2025-05-25,34,30,19,38,4,14,33,9,36,1
313,2025-05-26,42,33,24,45,47,31,26,29,41,1
314,2025-05-27,14,19,45,26,47,15,2,14,18,1
315,2025-05-28,18,21,21,24,5,6,21,36,24,1
316,2025-05-29,37,29,6,17,47,22,42,36,11,1
317,2025-05-30,31,14,42,32,26,8,11,23,16,1
318,2025-05-31,23,27,44,50,38,31,33,4,38,1
319,2025-06-01,24,47,34,22,30,27,13,3,28,1
320,2025-06-02,30,15,40,37,18,33,25,5,43,1
321,2025-06-03,46,20,28,25,30,9,37,41,17,1
322,2025-06-04,4,43,29,7,20,44,37,49,30,1
323,2025-06-05,40,45,30,16,2,7,23,49,15,1
324,2025-06-06,29,41,45,30,13,32,31,30,41,1
325,2025-06-07,24,10,6,30,19,34,36,33,13,1
326,2025-06-08,24,29,41,16,28,10,15,28,39,1
327,2025-06-09,44,44,3,42,7,23,13,17,20,1
328,2025-06-10,24,13,26,19,48,22,42,12,45,1
329,2025-06-11,16,34,29,45,19,7,16,24,32,1
330,2025-06-12,44,50,16,45,20,8,18,7,42,1
331,2025-06-13,38,17,11,36,33,38,45,46,37,1
332,2025-06-14,8,2,10,39,37,34,36,34,31,1
333,2025-06-15,35,5,29,13,8,37,19,9,10,1
334,2025-06-16,44,45,32,32,7,41,4,13,1,1
335,2025-06-17,5,12,40,33,46,11,3,8,5,1
336,2025-06-18,9,28,43,10,19,45,18,41,50,1
337,2025-06-19,4,2,44,4,24,48,8,30,38,1
338,2025-06-20,14,42,3,17,24,4,24,43,12,1
339,2025-06-21,37,27,11,5,12,5,32,39,19,1
340,2025-06-22,27,40,17,50,50,12,15,25,18,1
341,2025-06-23,39,48,28,26,20,26,9,25,29,1
342,2025-06-24,48,48,9,14,31,36,19,21,29,1
343,2025-06-25,19,23,38,17,45,10,37,15,9,1
344,2025-06-26,41,34,10,27,25,41,10,6,19,1
345,2025-06-27,11,32,31,1,47,24,3,2,26,1
346,2025-06-28,17,25,30,28,17,4,31,9,35,1
347,2025-06-29,45,37,37,22,21,43,48,50,12,1
348,2025-06-30,23,11,47,2,18,12,22,33,14,1
349,2025-07-01,31,17,17,31,8,28,20,38,35,1
350,2025-07-02,17,12,16,8,6,4,27,6,5,1
351,2025-07-03,9,36,27,16,7,50,45,15,15,1
352,2025-07-04,22,8,1,45,25,42,19,9,28,1
353,2025-07-05,38,15,31,34,37,30,7,25,15,1
354,2025-07-06,21,4,5,35,17,43,11,35,12,1
355,2025-07-07,30,39,25,4,16,2,16,32,45,1
356,2025-07-08,5,5,38,28,31,15,7,15,43,1
357,2025-07-09,20,41,37,41,12,27,32,49,5,1
358,2025-07-10,39,10,22,32,48,21,45,26,50,1
359,2025-07-11,3,2,6,41,5,23,30,44,34,1
360,2025-07-12,6,22,12,25,9,39,27,48,50,1
361,2025-07-13,32,24,1,44,3,9,44,14,22,1
362,2025-07-14,31,8,31,5,49,27,23,4,13,1
363,2025-07-15,48,5,44,34,27,3,38,32,13,1
364,2025-07-16,13,15,40,26,10,8,47,15,10,1
365,2025-07-17,1,20,44,26,32,31,35,1,14,1
366,2025-07-18,5,27,9,50,35,17,22,2,41,1
367,2025-07-19,26,4,11,31,47,44,20,7,30,1
368,2025-07-20,1,22,44,49,10,5,1,46,29,1
369,2025-07-21,33,16,35,1,14,12,45,22,42,1
370,2025-07-22,1,17,16,10,36,36,23,19,24,1
371,2025-07-23,33,46,47,2,22,35,27,25,12,1
372,2025-07-24,48,46,27,22,43,9,37,22,49,1
373,2025-07-25,31,28,22,43,34,25,30,2,36,1
374,2025-07-26,47,21,49,13,35,42,2,35,25,1
375,2025-07-27,30,45,28,4,15,13,2,34,43,1
376,2025-07-28,41,38,26,1,7,36,48,12,49,1
377,2025-07-29,29,10,49,37,38,36,24,46,9,1
378,2025-07-30,34,21,31,30,19,50,46,33,3,1
379,2025-07-31,18,2,41,16,12,41,15,33,8,1
380,2025-08-01,41,5,4,31,44,32,6,1,45,1
381,2025-08-02,23,45,5,46,45,39,34,3,15,1
382,2025-08-03,45,46,34,11,20,10,44,49,1,1
383,2025-08-04,35,19,39,36,43,5,3,28,17,1
384,2025-08-05,4,49,27,45,11,28,24,34,5,1
385,2025-08-06,35,30,3,32,43,33,6,48,20,1
386,2025-08-07,27,25,6,32,47,8,42,12,10,1
387,2025-08-08,35,11,15,2,25,20,14,24,14,1
388,2025-08-09,28,2,50,30,27,48,45,22,44,1
389,2025-08-10,48,20,12,16,17,15,35,6,45,1
390,2025-08-11,8,4,34,39,46,47,24,35,7,1
391,2025-08-12,12,35,15,15,35,42,10,18,9,1
392,2025-08-13,11,40,6,16,28,45,41,7,10,1
393,2025-08-14,18,2,41,33,3,31,12,47,8,1
394,2025-08-15,3,32,33,11,11,19,2,36,8,1
395,2025-08-16,15,8,20,46,42,31,38,39,32,1
396,2025-08-17,6,27,48,8,15,6,5,25,48,1
397,2025-08-18,35,13,13,50,16,30,48,34,20,1
398,2025-08-19,34,24,35,48,12,28,5,11,21,1
399,2025-08-20,33,10,48,12,36,1,41,24,38,1
400,2025-08-21,10,26,45,46,33,30,41,32,22,1
401,2025-08-22,35,1,45,20,31,9,30,21,28,1
402,2025-08-23,40,26,50,23,37,42,3,44,16,1
403,2025-08-24,13,40,17,40,35,3,46,43,17,1
404,2025-08-25,28,14,28,12,29,35,23,41,46,1
405,2025-08-26,20,44,27,41,39,42,41,20,40,1
406,2025-08-27,15,23,49,23,43,30,42,24,25,1
407,2025-08-28,6,47,22,1,37,14,21,5,50,1
408,2025-08-29,48,16,14,36,17,30,47,3,47,1
409,2025-08-30,10,40,31,27,38,21,36,31,9,1
410,2025-08-31,42,46,24,42,9,24,46,6,46,1
411,2025-09-01,34,17,49,24,6,8,33,4,26,1
412,2025-09-02,8,21,6,42,37,11,46,30,4,1
413,2025-09-03,8,46,50,1,33,30,29,18,35,1
414,2025-09-04,43,19,9,33,30,37,46,33,20,1
415,2025-09-05,1,22,11,8,21,22,1,21,13,1
416,2025-09-06,3,40,3,31,44,25,29,23,28,1
417,2025-09-07,27,11,37,2,20,26,14,18,39,1
418,2025-09-08,2,23,17,13,28,5,43,3,29,1
419,2025-09-09,39,23,30,27,48,42,42,47,49,1
420,2025-09-10,4,43,16,4,25,3,10,31,50,1
421,2025-09-11,4,10,4,38,42,23,8,36,14,1
422,2025-09-12,14,30,1,46,37,15,39,41,7,1
423,2025-09-13,25,3,3,13,43,17,3,43,12,1
424,2025-09-14,18,34,10,29,24,50,42,47,38,1
425,2025-09-15,16,27,15,34,46,3,39,47,17,1
426,2025-09-16,22,5,45,4,29,35,29,40,43,1
427,2025-09-17,16,25,45,21,49,31,28,26,41,1
428,2025-09-18,32,22,21,36,32,6,41,12,1,1
429,2025-09-19,28,23,26,38,35,31,30,31,21,1
430,2025-09-20,19,47,12,14,32,50,8,49,49,1
431,2025-09-21,23,8,16,43,11,14,23,22,2,1
432,2025-09-22,3,38,11,48,1,2,38,12,22,1
433,2025-09-23,39,43,31,28,16,17,29,24,50,1
434,2025-09-24,49,44,18,50,38,47,41,6,22,1
435,2025-09-25,6,24,13,39,43,41,7,43,10,1
436,2025-09-26,32,2,24,13,38,49,39,50,22,1
437,2025-09-27,43,4,42,30,26,28,48,47,43,1
438,2025-09-28,29,31,32,1,4,37,40,9,4,1
439,2025-09-29,20,35,45,15,2,26,24,18,14,1
440,2025-09-30,4,45,29,9,15,44,4,45,33,1
441,2025-10-01,12,43,27,49,50,25,39,9,39,1
442,2025-10-02,45,11,7,13,30,27,20,20,49,1
443,2025-10-03,12,45,24,45,20,18,30,6,14,1
444,2025-10-04,38,44,34,3,20,45,18,27,27,1
445,2025-10-05,32,37,33,38,36,14,37,30,20,1
446,2025-10-06,7,48,36,47,30,21,7,18,25,1
447,2025-10-07,30,45,48,8,25,43,22,25,43,1
448,2025-10-08,16,7,12,23,43,27,42,28,28,1
449,2025-10-09,33,19,2,17,47,41,21,28,17,1
450,2025-10-10,2,29,31,18,21,13,28,10,19,1
451,2025-10-11,3,50,21,47,43,37,20,38,13,1
452,2025-10-12,18,24,1,6,2,45,35,45,44,1
453,2025-10-13,27,44,17,50,18,28,1,18,29,1
454,2025-10-14,4,44,29,35,19,18,35,29,32,1
455,2025-10-15,50,2,33,38,28,9,50,25,1,1
456,2025-10-16,50,38,31,35,20,35,39,18,27,1
457,2025-10-17,14,40,15,17,9,21,33,38,36,1
458,2025-10-18,6,25,8,46,40,46,38,50,47,1
459,2025-10-19,31,4,20,37,33,12,10,12,3,1
460,2025-10-20,23,14,14,29,50,7,11,41,35,1
461,2025-10-21,7,8,5,25,36,11,1,21,16,1
462,2025-10-22,20,1,29,8,42,43,7,34,24,1
463,2025-10-23,16,39,30,10,22,22,41,21,45,1
464,2025-10-24,39,6,11,11,15,33,40,30,44,1
465,2025-10-25,10,35,2,3,28,27,48,34,13,1
466,2025-10-26,4,21,36,39,21,36,49,29,1,1
467,2025-10-27,38,11,31,11,24,16,46,44,25,1
468,2025-10-28,5,48,24,6,22,2,47,10,23,1
469,2025-10-29,21,12,47,43,25,31,8,10,23,1
470,2025-10-30,25,48,31,28,32,40,19,47,50,1
471,2025-10-31,13,30,17,15,4,24,10,28,14,1
472,2025-11-01,24,38,21,41,22,16,47,6,39,1
